11	42211591	42216441	ANF_lig-bd_rcpt	186.1	-	42211591	42216441	83,88,95	4	4581,-356,-416,4749	0,4300,2473,101	PF01094	http://pfam.sanger.ac.uk/family?acc=PF01094
11	42207760	42209947	GPCR_3_C	163.3	-	42207760	42209947	83,88,95	2	1954,1705	0,482	PF00003	http://pfam.sanger.ac.uk/family?acc=PF00003
11	42210044	42211367	GPCR_3_9-Cys_dom	59.7	-	42210044	42211367	83,88,95	2	1206,1280	0,43	PF07562	http://pfam.sanger.ac.uk/family?acc=PF07562
11	42207712	42209983	GPCR_3_C	29.414	-	42207712	42209983	83,88,95	2	2002,1741	0,530	PS50259	http://www.expasy.ch/prosite/PS50259
11	42218352	42218390	GPCR_3	466.0	-	42218352	42218390	83,88,95	1	38	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
11	42216412	42216459	GPCR_3	259.0	-	42216412	42216459	83,88,95	1	47	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
11	42216355	42216414	GPCR_3	532.0	-	42216355	42216414	83,88,95	1	59	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
11	42215883	42216243	GPCR_3	413.0	-	42215883	42216243	83,88,95	2	289,352	0,8	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
11	42215805	42215864	GPCR_3	442.0	-	42215805	42215864	83,88,95	1	59	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
11	42215757	42215807	GPCR_3	482.0	-	42215757	42215807	83,88,95	1	50	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
11	42215706	42215759	GPCR_3	379.0	-	42215706	42215759	83,88,95	1	53	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
11	42209831	42209899	GPCR_3	252.0	-	42209831	42209899	83,88,95	1	68	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
11	42207934	42208005	GPCR_3	262.0	-	42207934	42208005	83,88,95	1	71	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
11	42207871	42207936	GPCR_3	496.0	-	42207871	42207936	83,88,95	1	65	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
11	42211501	42218408	Peripla_BP_I	0.0	-	42211501	42218408	83,88,95	5	6795,-300,-356,-416,6716	0,4971,4390,2563,191	SSF53822	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF53822
