20	13495394	13525577	FERM_domain	85.679	-	13495394	13525577	83,88,95	7	30100,-95,-274,-83,-146,-96,30094	0,21181,15124,12915,10246,3598,89	PS50057	http://www.expasy.ch/prosite/PS50057
20	13483696	13538571	ERM	1344.5	-	13483696	13538571	83,88,95	13	54864,-83,-95,-274,-83,-146,-96,-163,-130,-160,-92,-242,54714	0,41881,32879,26822,24613,21944,15296,11787,7761,4926,4676,2413,161	PIRSF002305	None
20	13483696	13491405	ERM_C_dom	216.1	-	13483696	13491405	83,88,95	5	7631,-160,-92,-242,7548	0,4926,4676,2413,161	PF00769	http://pfam.sanger.ac.uk/family?acc=PF00769
20	13495382	13505564	FERM_PH-like_C	114.1	-	13495382	13505564	83,88,95	3	10112,-96,10081	0,3610,101	PF09380	http://pfam.sanger.ac.uk/family?acc=PF09380
20	13505574	13510431	FERM_central	86.1	-	13505574	13510431	83,88,95	3	4670,-83,4791	0,2735,66	PF00373	http://pfam.sanger.ac.uk/family?acc=PF00373
20	13510453	13525565	FERM_N	71.1	-	13510453	13525565	83,88,95	3	15041,-95,15047	0,6122,65	PF09379	http://pfam.sanger.ac.uk/family?acc=PF09379
20	13516564	13525541	Ez/rad/moesin_like	860.0	-	13516564	13525541	83,88,95	2	8930,8966	0,11	PR00661	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00661&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00661
20	13510447	13510506	Ez/rad/moesin_like	825.0	-	13510447	13510506	83,88,95	1	59	0	PR00661	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00661&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00661
20	13510309	13510374	Ez/rad/moesin_like	968.0	-	13510309	13510374	83,88,95	1	65	0	PR00661	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00661&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00661
20	13508249	13508302	Ez/rad/moesin_like	729.0	-	13508249	13508302	83,88,95	1	53	0	PR00661	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00661&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00661
20	13505505	13505567	Ez/rad/moesin_like	1020.0	-	13505505	13505567	83,88,95	1	62	0	PR00661	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00661&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00661
20	13495370	13495429	Ez/rad/moesin_like	1067.0	-	13495370	13495429	83,88,95	1	59	0	PR00661	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00661&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00661
20	13483768	13483833	Ez/rad/moesin_like	685.0	-	13483768	13483833	83,88,95	1	65	0	PR00661	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00661&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00661
20	13483702	13483767	Ez/rad/moesin_like	1021.0	-	13483702	13483767	83,88,95	1	65	0	PR00661	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00661&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00661
20	13516525	13516563	Band_41_fam	454.0	-	13516525	13516563	83,88,95	1	38	0	PR00935	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00935&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00935
20	13510360	13510401	Band_41_fam	398.0	-	13510360	13510401	83,88,95	1	41	0	PR00935	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00935&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00935
20	13510300	13510362	Band_41_fam	712.0	-	13510300	13510362	83,88,95	1	62	0	PR00935	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00935&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00935
20	13505586	13505636	Band_41_fam	552.0	-	13505586	13505636	83,88,95	1	50	0	PR00935	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00935&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00935
20	13505574	13538571	Band_41_domain	277.9	-	13505574	13538571	83,88,95	6	32986,-83,-95,-274,-83,32931	0,20003,11001,4944,2735,66	SM00295	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00295
20	13505598	13510449	FERM_central	0.0	-	13505598	13510449	83,88,95	3	4646,-83,4809	0,2711,42	SSF47031	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF47031
20	13483696	13485974	Moesin_tail	0.0	-	13483696	13485974	83,88,95	2	2171,2117	0,161	SSF48678	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF48678
