19	49826026	49829486	B30.2/SPRY	25.745	-	49826026	49829486	83,88,95	5	3451,-20,-26,-175,3116	0,3368,3148,3041,344	PS50188	http://www.expasy.ch/prosite/PS50188
19	49830987	49831109	Znf_B-box	9.769	-	49830987	49831109	83,88,95	1	122	0	PS50119	http://www.expasy.ch/prosite/PS50119
19	49831401	49831523	Znf_RING	12.857999999999999	-	49831401	49831523	83,88,95	1	122	0	PS50089	http://www.expasy.ch/prosite/PS50089
19	49831404	49831523	Znf_RING	43.9	-	49831404	49831523	83,88,95	1	119	0	SM00184	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00184
19	49831119	49831265	Znf_B-box	6.8	-	49831119	49831265	83,88,95	1	146	0	SM00336	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00336
19	49830987	49831109	Znf_B-box	48.4	-	49830987	49831109	83,88,95	1	122	0	SM00336	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00336
19	49828913	49829151	PRY	66.3	-	49828913	49829151	83,88,95	2	235,84	0,154	SM00589	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00589
19	49826029	49828912	SPla/RYanodine_receptor_subgr	66.9	-	49826029	49828912	83,88,95	2	2863,2542	0,341	SM00449	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00449
19	49829021	49829154	Butyrophylin	315.0	-	49829021	49829154	83,88,95	2	127,87	0,46	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
19	49828970	49829023	Butyrophylin	188.0	-	49828970	49829023	83,88,95	1	53	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
19	49826362	49828957	Butyrophylin	756.0	-	49826362	49828957	83,88,95	2	2530,2587	0,8	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
19	49826305	49826346	Butyrophylin	373.0	-	49826305	49826346	83,88,95	1	41	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
19	49826140	49826214	Butyrophylin	548.0	-	49826140	49826214	83,88,95	1	74	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
19	49826047	49828909	SPRY_rcpt	57.7	-	49826047	49828909	83,88,95	2	2845,2539	0,323	PF00622	http://pfam.sanger.ac.uk/family?acc=PF00622
19	49830987	49831100	Znf_B-box	38.4	-	49830987	49831100	83,88,95	1	113	0	PF00643	http://pfam.sanger.ac.uk/family?acc=PF00643
19	49831404	49831523	Znf_C3HC4_RING-type	29.5	-	49831404	49831523	83,88,95	1	119	0	PF00097	http://pfam.sanger.ac.uk/family?acc=PF00097
19	49826026	49829175	ConA-like_lec_gl_sf	0.0	-	49826026	49829175	83,88,95	3	3122,-175,2805	0,3041,344	SSF49899	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF49899
