4	18889553	18896544	7TM_GPCR_olfarory/Srsx	28.6	-	18889553	18896544	83,88,95	3	6845,-112,6745	0,5179,246	PF10320	http://pfam.sanger.ac.uk/family?acc=PF10320
4	18885027	18896532	GPCR_Rhodpsn	253.1	-	18885027	18896532	83,88,95	4	11371,-112,-703,11363	0,9705,4772,142	PF00001	http://pfam.sanger.ac.uk/family?acc=PF00001
4	18889505	18889552	Dopamine_D4_rcpt	357.0	-	18889505	18889552	83,88,95	1	47	0	PR00569	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00569&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00569
4	18889631	18889669	Dopamine_D4_rcpt	454.0	-	18889631	18889669	83,88,95	1	38	0	PR00569	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00569&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00569
4	18894694	18894726	Dopamine_D4_rcpt	393.0	-	18894694	18894726	83,88,95	1	32	0	PR00569	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00569&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00569
4	18884979	18885023	Dopamine_rcpt	396.0	-	18884979	18885023	83,88,95	1	44	0	PR00242	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00242&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00242
4	18885063	18885098	Dopamine_rcpt	257.0	-	18885063	18885098	83,88,95	1	35	0	PR00242	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00242&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00242
4	18889766	18889792	Dopamine_rcpt	239.0	-	18889766	18889792	83,88,95	1	26	0	PR00242	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00242&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00242
4	18896485	18896517	Dopamine_rcpt	246.0	-	18896485	18896517	83,88,95	1	32	0	PR00242	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00242&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00242
4	18885003	18885083	GPCR_Rhodpsn	502.0	-	18885003	18885083	83,88,95	1	80	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
4	18885123	18889123	GPCR_Rhodpsn	466.0	-	18885123	18889123	83,88,95	2	3973,3954	0,46	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
4	18889550	18889621	GPCR_Rhodpsn	269.0	-	18889550	18889621	83,88,95	1	71	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
4	18889682	18889747	GPCR_Rhodpsn	239.0	-	18889682	18889747	83,88,95	1	65	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
4	18889787	18894675	GPCR_Rhodpsn	420.0	-	18889787	18894675	83,88,95	2	4833,4876	0,12	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
4	18896413	18896478	GPCR_Rhodpsn	422.0	-	18896413	18896478	83,88,95	1	65	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
4	18896503	18896577	GPCR_Rhodpsn	177.0	-	18896503	18896577	83,88,95	1	74	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
4	18885027	18896532	GPCR_Rhodpsn_7TM	44.946000000000005	-	18885027	18896532	83,88,95	4	11371,-112,-703,11363	0,9705,4772,142	PS50262	http://www.expasy.ch/prosite/PS50262
