20	34151661	34151914	EG-like_dom	14.619000000000002	-	34151661	34151914	83,88,95	2	250,141	0,112	PS50026	http://www.expasy.ch/prosite/PS50026
20	34147127	34151442	Haem_peroxidase_animal	92.288	-	34147127	34151442	83,88,95	8	4294,-143,-181,-83,-246,-286,-147,3927	0,3114,2646,2362,2155,1318,913,388	PS50292	http://www.expasy.ch/prosite/PS50292
20	34150114	34150149	Haem_peroxidase_animal_subgr	308.0	-	34150114	34150149	83,88,95	1	35	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
20	34149637	34149684	Haem_peroxidase_animal_subgr	452.0	-	34149637	34149684	83,88,95	1	47	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
20	34149139	34149195	Haem_peroxidase_animal_subgr	437.0	-	34149139	34149195	83,88,95	1	56	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
20	34149079	34149141	Haem_peroxidase_animal_subgr	846.0	-	34149079	34149141	83,88,95	1	62	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
20	34148396	34149066	Haem_peroxidase_animal_subgr	715.0	-	34148396	34149066	83,88,95	2	640,621	0,49	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
20	34148285	34148317	Haem_peroxidase_animal_subgr	307.0	-	34148285	34148317	83,88,95	1	32	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
20	34147451	34147513	Haem_peroxidase_animal_subgr	540.0	-	34147451	34147513	83,88,95	1	62	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
20	34147244	34147288	Haem_peroxidase_animal_subgr	387.0	-	34147244	34147288	83,88,95	1	44	0	PR00457	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00457&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00457
20	34147247	34150164	Haem_peroxidase_animal	307.8	-	34147247	34150164	83,88,95	7	2851,-181,-83,-246,-286,-147,2649	0,2526,2242,2035,1198,793,268	PF03098	http://pfam.sanger.ac.uk/family?acc=PF03098
20	34147211	34151559	Haem_peroxidase	0.0	-	34147211	34151559	83,88,95	8	4210,-143,-181,-83,-246,-286,-147,4044	0,3030,2562,2278,2071,1234,829,304	SSF48113	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF48113
