16	33835314	33856098	CarbesteraseB	383.9	-	33835314	33856098	83,88,95	10	20645,-87,-138,-196,-164,-167,-187,-107,-140,20625	0,19645,18970,17133,8921,8673,7366,1040,841,159	PF00135	http://pfam.sanger.ac.uk/family?acc=PF00135
16	33896873	33902713	Thyroglobulin_1	49.9	-	33896873	33902713	83,88,95	3	5776,-97,5839	0,1313,1	PF00086	http://pfam.sanger.ac.uk/family?acc=PF00086
16	33896225	33896848	Thyroglobulin_1	50.2	-	33896225	33896848	83,88,95	2	461,622	0,1	PF00086	http://pfam.sanger.ac.uk/family?acc=PF00086
16	33890264	33890413	Thyroglobulin_1	47.5	-	33890264	33890413	83,88,95	1	149	0	PF00086	http://pfam.sanger.ac.uk/family?acc=PF00086
16	33887155	33887304	Thyroglobulin_1	54.6	-	33887155	33887304	83,88,95	1	149	0	PF00086	http://pfam.sanger.ac.uk/family?acc=PF00086
16	33885032	33887145	Thyroglobulin_1	34.8	-	33885032	33887145	83,88,95	2	1927,2112	0,1	PF00086	http://pfam.sanger.ac.uk/family?acc=PF00086
16	33880447	33882838	Thyroglobulin_1	45.7	-	33880447	33882838	83,88,95	2	2310,2327	0,64	PF00086	http://pfam.sanger.ac.uk/family?acc=PF00086
16	33877681	33877818	Thyroglobulin_1	31.6	-	33877681	33877818	83,88,95	1	137	0	PF00086	http://pfam.sanger.ac.uk/family?acc=PF00086
16	33874694	33874953	Tyr-kin_ephrin_A/B_rcpt-like	45.9	-	33874694	33874953	83,88,95	2	145,258	0,1	PF07699	http://pfam.sanger.ac.uk/family?acc=PF07699
16	33896861	33902680	Thyroglobulin_1	65.0	-	33896861	33902680	83,88,95	3	5788,-97,5806	0,1325,13	SM00211	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00211
16	33896213	33896815	Thyroglobulin_1	73.4	-	33896213	33896815	83,88,95	2	473,589	0,13	SM00211	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00211
16	33887986	33890389	Thyroglobulin_1	63.7	-	33887986	33890389	83,88,95	2	2277,2393	0,10	SM00211	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00211
16	33887143	33887280	Thyroglobulin_1	75.2	-	33887143	33887280	83,88,95	1	137	0	SM00211	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00211
16	33885020	33887079	Thyroglobulin_1	42.5	-	33885020	33887079	83,88,95	2	1939,2046	0,13	SM00211	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00211
16	33884334	33884563	Thyroglobulin_1	14.4	-	33884334	33884563	83,88,95	2	103,216	0,13	SM00211	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00211
16	33880296	33882814	Thyroglobulin_1	60.3	-	33880296	33882814	83,88,95	3	2461,-77,2505	0,215,13	SM00211	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00211
16	33877846	33880226	Thyroglobulin_1	15.3	-	33877846	33880226	83,88,95	3	2363,-120,2367	0,2273,13	SM00211	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00211
16	33877571	33877797	Thyroglobulin_1	35.6	-	33877571	33877797	83,88,95	2	85,219	0,7	SM00211	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00211
