23	33667102	33707830	Integrin_alpha-2	381.3	-	33667102	33707830	83,88,95	13	40616,-55,-157,-137,-67,-147,-92,-79,-80,-105,-158,-107,40693	0,35463,32978,31163,24536,21699,19734,14527,12935,12773,9823,5022,35	PF08441	http://pfam.sanger.ac.uk/family?acc=PF08441
23	33707735	33708747	Int_alpha_beta-p	28.4	-	33707735	33708747	83,88,95	3	949,-45,916	0,858,96	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
23	33708778	33709921	Int_alpha_beta-p	65.9	-	33708778	33709921	83,88,95	2	1080,1037	0,106	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
23	33708580	33708735	Integrin_alpha	735.0	-	33708580	33708735	83,88,95	2	104,142	0,13	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
23	33709940	33710206	Int_alpha_beta-p	57.2	-	33709940	33710206	83,88,95	2	214,140	0,126	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
23	33713432	33714999	Int_alpha_beta-p	30.3	-	33713432	33714999	83,88,95	4	1552,-44,-43,1517	0,1464,300,50	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
23	33737973	33771479	Int_alpha_beta-p	37.6	-	33737973	33771479	83,88,95	2	33457,33380	0,126	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
23	33710153	33713437	Integrin_alpha	714.0	-	33710153	33713437	83,88,95	2	3276,3231	0,53	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
23	33713698	33713733	Integrin_alpha	223.0	-	33713698	33713733	83,88,95	1	35	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
23	33663387	33666066	Integrin_alpha	714.0	-	33663387	33666066	83,88,95	2	2638,2662	0,17	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
23	33698206	33698247	Integrin_alpha	346.0	-	33698206	33698247	83,88,95	1	41	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
23	33714871	33714996	Integrin_alpha	374.0	-	33714871	33714996	83,88,95	2	113,100	0,25	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
23	33709979	33710194	FG-GAP	29.4	-	33709979	33710194	83,88,95	2	175,128	0,87	PF01839	http://pfam.sanger.ac.uk/family?acc=PF01839
23	33708550	33708735	FG-GAP	21.1	-	33708550	33708735	83,88,95	2	134,142	0,43	PF01839	http://pfam.sanger.ac.uk/family?acc=PF01839
23	33708865	33709912	Integrin_alpha	848.0	-	33708865	33709912	83,88,95	2	993,1028	0,19	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
23	33707789	33708564	Integrin_alpha	356.0	-	33707789	33708564	83,88,95	2	759,733	0,42	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
