19	47876544	47890173	Nucleoporin_Nup153	541.5	+	47876544	47890173	83,88,95	14	282,133,128,116,44,53,140,52,120,149,98,81,98,34	0,2038,5347,5580,8473,8597,10488,11493,11654,12810,13064,13241,13408,13595	PF08604	http://pfam.sanger.ac.uk/family?acc=PF08604
19	47890240	47890326	Znf_RanBP2	29.2	+	47890240	47890326	83,88,95	1	86	0	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
19	47890399	47890488	Znf_RanBP2	40.9	+	47890399	47890488	83,88,95	1	89	0	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
19	47890621	47892556	Znf_RanBP2	35.0	+	47890621	47892556	83,88,95	2	87,1	0,1934	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
19	47892644	47892733	Znf_RanBP2	39.3	+	47892644	47892733	83,88,95	1	89	0	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
19	47892650	47892724	Znf_RanBP2	34.2	+	47892650	47892724	83,88,95	1	74	0	SM00547	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00547
19	47890627	47890701	Znf_RanBP2	35.9	+	47890627	47890701	83,88,95	1	74	0	SM00547	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00547
19	47890405	47890479	Znf_RanBP2	38.6	+	47890405	47890479	83,88,95	1	74	0	SM00547	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00547
19	47890246	47890320	Znf_RanBP2	41.2	+	47890246	47890320	83,88,95	1	74	0	SM00547	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00547
19	47890240	47890329	Znf_RanBP2	10.218	+	47890240	47890329	83,88,95	1	89	0	PS50199	http://www.expasy.ch/prosite/PS50199
19	47890399	47890488	Znf_RanBP2	10.749	+	47890399	47890488	83,88,95	1	89	0	PS50199	http://www.expasy.ch/prosite/PS50199
19	47890621	47892556	Znf_RanBP2	10.534	+	47890621	47892556	83,88,95	2	87,1	0,1934	PS50199	http://www.expasy.ch/prosite/PS50199
19	47892644	47892733	Znf_RanBP2	10.873	+	47892644	47892733	83,88,95	1	89	0	PS50199	http://www.expasy.ch/prosite/PS50199
