18	224859	228106	PyrdxlP-dep_de-COase	462.0	+	224859	228106	83,88,95	10	98,113,122,140,143,24,162,87,98,98	0,212,485,785,1100,1373,1723,2160,2954,3149	PF00282	http://pfam.sanger.ac.uk/family?acc=PF00282
18	224647	224831	Aromatic_deC	405.0	+	224647	224831	83,88,95	2	12,46	0,138	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
18	224841	224894	Aromatic_deC	554.0	+	224841	224894	83,88,95	1	53	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
18	224895	224954	Aromatic_deC	600.0	+	224895	224954	83,88,95	1	59	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
18	225086	225145	Aromatic_deC	631.0	+	225086	225145	83,88,95	1	59	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
18	225149	225364	Aromatic_deC	705.0	+	225149	225364	83,88,95	2	35,20	0,195	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
18	225365	225424	Aromatic_deC	560.0	+	225365	225424	83,88,95	1	59	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
18	225449	225688	Aromatic_deC	660.0	+	225449	225688	83,88,95	2	17,44	0,195	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
18	227825	227872	Aromatic_deC	697.0	+	227825	227872	83,88,95	1	47	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
18	228050	228109	Aromatic_deC	387.0	+	228050	228109	83,88,95	1	59	0	PR00800	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00800&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00800
18	224632	230860	PyrdxlP-dep_Trfase	0.0	+	224632	230860	83,88,95	12	27,172,113,122,140,143,24,162,87,98,101,185	0,153,439,712,1012,1327,1600,1950,2387,3181,3376,6043	SSF53383	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF53383
