20	15122024	15137719	Flavin_mOase-like	734.3	-	15122024	15137719	83,88,95	8	15570,-188,-165,-142,-199,-355,-72,15362	0,12575,12296,10315,5995,5671,2135,333	PF00743	http://pfam.sanger.ac.uk/family?acc=PF00743
20	15127906	15137716	Pyr_nucl-diS_OxRdtase_FAD/NAD	28.5	-	15127906	15137716	83,88,95	5	9688,-188,-165,-142,9697	0,6693,6414,4433,113	PF07992	http://pfam.sanger.ac.uk/family?acc=PF07992
20	15137669	15137719	Flavin_mOase	614.0	-	15137669	15137719	83,88,95	1	50	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15134579	15137647	Flavin_mOase	917.0	-	15134579	15137647	83,88,95	2	3015,3048	0,20	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15134513	15134569	Flavin_mOase	713.0	-	15134513	15134569	83,88,95	1	56	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15134450	15134497	Flavin_mOase	505.0	-	15134450	15134497	83,88,95	1	47	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15134294	15134422	Flavin_mOase	309.0	-	15134294	15134422	83,88,95	2	117,102	0,26	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15134171	15134221	Flavin_mOase	522.0	-	15134171	15134221	83,88,95	1	50	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15132269	15132313	Flavin_mOase	381.0	-	15132269	15132313	83,88,95	1	44	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15128008	15132232	Flavin_mOase	438.0	-	15128008	15132232	83,88,95	2	4189,4213	0,11	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15127584	15127637	Flavin_mOase	233.0	-	15127584	15127637	83,88,95	1	53	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
