7	36876506	36886459	Pept_M10_metallopeptidase	217.9	-	36876506	36886459	83,88,95	8	9925,-148,-128,-173,-173,-173,-155,9952	0,7502,6544,6296,5958,1036,656,1	PF00413	http://pfam.sanger.ac.uk/family?acc=PF00413
7	36882639	36882764	FN_type2_col-bd	66.9	-	36882639	36882764	83,88,95	1	125	0	PF00040	http://pfam.sanger.ac.uk/family?acc=PF00040
7	36882301	36882426	FN_type2_col-bd	63.5	-	36882301	36882426	83,88,95	1	125	0	PF00040	http://pfam.sanger.ac.uk/family?acc=PF00040
7	36877379	36877504	FN_type2_col-bd	66.1	-	36877379	36877504	83,88,95	1	125	0	PF00040	http://pfam.sanger.ac.uk/family?acc=PF00040
7	36872512	36876430	Hemopexin-like_repeat	27.1	-	36872512	36876430	83,88,95	2	3869,3840	0,78	PF00045	http://pfam.sanger.ac.uk/family?acc=PF00045
7	36869539	36872505	Hemopexin-like_repeat	35.4	-	36869539	36872505	83,88,95	2	2915,2887	0,79	PF00045	http://pfam.sanger.ac.uk/family?acc=PF00045
7	36869069	36869526	Hemopexin-like_repeat	47.9	-	36869069	36869526	83,88,95	2	390,394	0,63	PF00045	http://pfam.sanger.ac.uk/family?acc=PF00045
7	36886520	36886657	Peptidoglycan-bd-like	29.3	-	36886520	36886657	83,88,95	1	137	0	PF01471	http://pfam.sanger.ac.uk/family?acc=PF01471
7	36886481	36886522	Pept_M10A	540.0	-	36886481	36886522	83,88,95	1	41	0	PR00138	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00138&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00138
7	36883912	36883959	Pept_M10A	531.0	-	36883912	36883959	83,88,95	1	47	0	PR00138	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00138&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00138
7	36882995	36883890	Pept_M10A	1003.0	-	36882995	36883890	83,88,95	2	865,840	0,55	PR00138	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00138&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00138
7	36877068	36877145	Pept_M10A	1000.0	-	36877068	36877145	83,88,95	1	77	0	PR00138	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00138&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00138
7	36876506	36877046	Pept_M10A	507.0	-	36876506	36877046	83,88,95	2	501,539	0,1	PR00138	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00138&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00138
7	36877373	36877519	FN_type2_col-bd	21.784000000000002	-	36877373	36877519	83,88,95	1	146	0	PS51092	http://www.expasy.ch/prosite/PS51092
7	36865580	36869053	Hemopexin-like_repeat	19.3	-	36865580	36869053	83,88,95	2	3443,3373	0,100	SM00120	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00120
7	36869539	36872505	Hemopexin-like_repeat	47.3	-	36869539	36872505	83,88,95	2	2915,2887	0,79	SM00120	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00120
7	36869057	36869526	Hemopexin-like_repeat	60.8	-	36869057	36869526	83,88,95	2	402,394	0,75	SM00120	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00120
7	36882295	36882441	FN_type2_col-bd	21.761	-	36882295	36882441	83,88,95	1	146	0	PS51092	http://www.expasy.ch/prosite/PS51092
7	36882633	36882779	FN_type2_col-bd	20.964000000000002	-	36882633	36882779	83,88,95	1	146	0	PS51092	http://www.expasy.ch/prosite/PS51092
7	36877379	36877525	FN_type2_col-bd	103.7	-	36877379	36877525	83,88,95	1	146	0	SM00059	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00059
7	36872509	36876430	Hemopexin-like_repeat	32.8	-	36872509	36876430	83,88,95	2	3872,3840	0,81	SM00120	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00120
7	36882301	36882447	FN_type2_col-bd	96.5	-	36882301	36882447	83,88,95	1	146	0	SM00059	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00059
7	36876503	36886468	Peptidase_Metallo	157.0	-	36876503	36886468	83,88,95	8	9928,-148,-128,-173,-173,-173,-155,9961	0,7505,6547,6299,5961,1039,659,4	SM00235	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00235
7	36882639	36882785	FN_type2_col-bd	91.8	-	36882639	36882785	83,88,95	1	146	0	SM00059	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00059
7	36865580	36876472	Hemopexin-like_dom	0.0	-	36865580	36876472	83,88,95	5	10801,-136,-159,-109,10792	0,7010,4038,3552,100	SSF50923	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF50923
7	36877370	36882300	Kringle-like	0.0	-	36877370	36882300	83,88,95	2	4921,4758	0,172	SSF57440	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57440
7	36882298	36882632	Kringle-like	0.0	-	36882298	36882632	83,88,95	2	331,168	0,166	SSF57440	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57440
7	36882633	36882925	Kringle-like	0.0	-	36882633	36882925	83,88,95	2	289,123	0,169	SSF57440	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57440
