8	50803494	50825822	Cl-channel_core	0.0	-	50803494	50825822	83,88,95	15	22284,-65,-66,-106,-126,-67,-58,-132,-113,-166,-117,-129,-153,-156,22239	0,22212,18822,18666,17702,16529,16304,14147,13932,11862,11598,7689,4567,1521,89	SSF81340	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF81340
8	50788832	50792436	CBS_dom	33.7	-	50788832	50792436	83,88,95	2	3491,3572	0,32	PF00571	http://pfam.sanger.ac.uk/family?acc=PF00571
8	50803563	50822089	Cl-channel_volt-gated	319.7	-	50803563	50822089	83,88,95	12	18491,-126,-67,-58,-132,-113,-166,-117,-129,-153,-156,18506	0,17633,16460,16235,14078,13863,11793,11529,7620,4498,1452,20	PF00654	http://pfam.sanger.ac.uk/family?acc=PF00654
8	50801248	50801364	CBS_dom	21.5	-	50801248	50801364	83,88,95	1	116	0	PF00571	http://pfam.sanger.ac.uk/family?acc=PF00571
8	50821143	50821196	Cl-channel_volt-gated	642.0	-	50821143	50821196	83,88,95	1	53	0	PR00762	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00762&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00762
8	50819998	50821103	Cl-channel_volt-gated	520.0	-	50819998	50821103	83,88,95	2	1072,1080	0,25	PR00762	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00762&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00762
8	50817551	50817610	Cl-channel_volt-gated	747.0	-	50817551	50817610	83,88,95	1	59	0	PR00762	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00762&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00762
8	50807922	50807984	Cl-channel_volt-gated	614.0	-	50807922	50807984	83,88,95	1	62	0	PR00762	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00762&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00762
8	50804940	50804990	Cl-channel_volt-gated	515.0	-	50804940	50804990	83,88,95	1	50	0	PR00762	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00762&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00762
8	50804877	50804936	Cl-channel_volt-gated	424.0	-	50804877	50804936	83,88,95	1	59	0	PR00762	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00762&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00762
8	50803503	50803547	Cl-channel_volt-gated	392.0	-	50803503	50803547	83,88,95	1	44	0	PR00762	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00762&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00762
8	50826869	50826907	Cl_channel-6	354.0	-	50826869	50826907	83,88,95	1	38	0	PR01117	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01117&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01117
8	50825659	50825688	Cl_channel-6	430.0	-	50825659	50825688	83,88,95	1	29	0	PR01117	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01117&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01117
8	50822266	50822304	Cl_channel-6	644.0	-	50822266	50822304	83,88,95	1	38	0	PR01117	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01117&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01117
8	50819968	50819997	Cl_channel-6	456.0	-	50819968	50819997	83,88,95	1	29	0	PR01117	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01117&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01117
8	50819778	50819964	Cl_channel-6	380.0	-	50819778	50819964	83,88,95	2	178,166	0,20	PR01117	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01117&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01117
8	50801194	50801343	CBS_dom	22.0	-	50801194	50801343	83,88,95	1	149	0	SM00116	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00116
8	50788820	50792424	CBS_dom	51.1	-	50788820	50792424	83,88,95	2	3503,3560	0,44	SM00116	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00116
