12	21718836	21725443	Aquaporin-like	0.0	-	21718836	21725443	83,88,95	5	6420,-126,-214,-134,6586	0,5569,4552,1415,21	SSF81338	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF81338
12	21720131	21725413	MIP	166.2	-	21720131	21725413	83,88,95	4	5125,-126,-214,5162	0,4274,3257,120	PF00230	http://pfam.sanger.ac.uk/family?acc=PF00230
12	21718818	21718844	Aquaporin_8	259.0	-	21718818	21718844	83,88,95	1	26	0	PR02020	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02020&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02020
12	21718845	21720133	Aquaporin_8	140.0	-	21718845	21720133	83,88,95	2	1272,1276	0,12	PR02020	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02020&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02020
12	21723215	21723247	Aquaporin_8	291.0	-	21723215	21723247	83,88,95	1	32	0	PR02020	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02020&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02020
12	21723317	21723355	Aquaporin_8	186.0	-	21723317	21723355	83,88,95	1	38	0	PR02020	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02020&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02020
12	21723353	21724284	Aquaporin_8	296.0	-	21723353	21724284	83,88,95	2	926,896	0,35	PR02020	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02020&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02020
12	21724318	21724353	Aquaporin_8	320.0	-	21724318	21724353	83,88,95	1	35	0	PR02020	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02020&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02020
12	21725258	21725290	Aquaporin_8	224.0	-	21725258	21725290	83,88,95	1	32	0	PR02020	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02020&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02020
12	21725399	21725446	Aquaporin_8	352.0	-	21725399	21725446	83,88,95	1	47	0	PR02020	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02020&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02020
12	21718851	21720172	MIP	449.0	-	21718851	21720172	83,88,95	2	1266,1315	0,6	PR00783	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00783&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00783
12	21720215	21723205	MIP	416.0	-	21720215	21723205	83,88,95	2	2959,2954	0,36	PR00783	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00783&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00783
12	21723242	21723298	MIP	149.0	-	21723242	21723298	83,88,95	1	56	0	PR00783	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00783&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00783
12	21724282	21724341	MIP	345.0	-	21724282	21724341	83,88,95	1	59	0	PR00783	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00783&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00783
12	21724378	21725302	MIP	569.0	-	21724378	21725302	83,88,95	2	878,897	0,27	PR00783	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00783&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00783
12	21725351	21725410	MIP	295.0	-	21725351	21725410	83,88,95	1	59	0	PR00783	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00783&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00783
