1	30099482	30116272	Integrin_alpha-2	373.8	+	30099482	30116272	83,88,95	13	94,61,163,146,115,153,83,79,77,102,173,98,38	0,178,342,7517,9097,9749,10280,11185,11482,11649,13726,14020,16752	PF08441	http://pfam.sanger.ac.uk/family?acc=PF08441
1	30097743	30098382	FG-GAP	30.7	+	30097743	30098382	83,88,95	2	40,75	0,564	PF01839	http://pfam.sanger.ac.uk/family?acc=PF01839
1	30094743	30097595	Integrin_alpha	305.0	+	30094743	30097595	83,88,95	2	12,25	0,2827	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
1	30097617	30097652	Integrin_alpha	299.0	+	30097617	30097652	83,88,95	1	35	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
1	30097722	30097784	Integrin_alpha	538.0	+	30097722	30097784	83,88,95	1	62	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
1	30098446	30098653	Integrin_alpha	732.0	+	30098446	30098653	83,88,95	2	54,19	0,188	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
1	30098844	30098909	Integrin_alpha	705.0	+	30098844	30098909	83,88,95	1	65	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
1	30098922	30099523	Integrin_alpha	272.0	+	30098922	30099523	83,88,95	2	16,42	0,559	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
1	30107011	30107052	Integrin_alpha	195.0	+	30107011	30107052	83,88,95	1	41	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
1	30117886	30119897	Integrin_alpha	733.0	+	30117886	30119897	83,88,95	2	41,17	0,1994	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
1	30098832	30099541	Int_alpha_beta-p	6.3	+	30098832	30099541	83,88,95	2	106,60	0,649	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
1	30098437	30098819	Int_alpha_beta-p	54.3	+	30098437	30098819	83,88,95	3	63,88,8	0,197,374	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
1	30097731	30098430	Int_alpha_beta-p	51.4	+	30097731	30098430	83,88,95	2	52,123	0,576	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
1	30094740	30097703	Int_alpha_beta-p	20.7	+	30094740	30097703	83,88,95	2	15,133	0,2830	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
1	30075607	30090599	Int_alpha_beta-p	25.9	+	30075607	30090599	83,88,95	2	64,123	0,14869	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
