12	35171997	35174128	SH3_2	35.9	-	35171997	35174128	83,88,95	2	2029,2079	0,52	PF07653	http://pfam.sanger.ac.uk/family?acc=PF07653
12	35159248	35165447	Band_41_domain	11.6	-	35159248	35165447	83,88,95	6	6125,-96,-148,-124,-133,6159	0,6041,3957,2580,2351,40	SM00295	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00295
12	35165530	35171559	MyTH4_dom	98.8	-	35165530	35171559	83,88,95	6	6021,-72,-76,-76,-130,5935	0,5931,3544,3377,2079,94	SM00139	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00139
12	35171982	35174131	SH3_domain	46.2	-	35171982	35174131	83,88,95	2	2044,2082	0,67	SM00326	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00326
12	35192835	35195968	MyTH4_dom	74.2	-	35192835	35195968	83,88,95	3	3065,-235,3004	0,2616,129	SM00139	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00139
12	35159263	35163128	FERM_central	0.0	-	35159263	35163128	83,88,95	4	3794,-124,-133,3840	0,2565,2336,25	SSF47031	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF47031
12	35171967	35178909	SH3_domain	0.0	-	35171967	35178909	83,88,95	9	6852,-115,-59,-75,-115,-118,-141,-111,6860	0,5455,5247,5086,4914,4710,2708,2170,82	SSF50044	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF50044
12	35165533	35169024	MyTH4_dom	86.6	-	35165533	35169024	83,88,95	4	3465,-76,-130,3400	0,3374,2076,91	PF00784	http://pfam.sanger.ac.uk/family?acc=PF00784
12	35192910	35195403	MyTH4_dom	40.9	-	35192910	35195403	83,88,95	2	2306,2439	0,54	PF00784	http://pfam.sanger.ac.uk/family?acc=PF00784
12	35157218	35165435	FERM_domain	11.192	-	35157218	35165435	83,88,95	8	8155,-96,-148,-124,-133,-133,-137,8149	0,8071,5987,4610,4381,2070,1859,68	PS50057	http://www.expasy.ch/prosite/PS50057
12	35192835	35195980	MyTH4_dom	35.946999999999996	-	35192835	35195980	83,88,95	3	3065,-235,3016	0,2616,129	PS51016	http://www.expasy.ch/prosite/PS51016
12	35165530	35171559	MyTH4_dom	46.855	-	35165530	35171559	83,88,95	6	6021,-72,-76,-76,-130,5935	0,5931,3544,3377,2079,94	PS51016	http://www.expasy.ch/prosite/PS51016
12	35171979	35174536	SH3_domain	10.731	-	35171979	35174536	83,88,95	3	2555,-111,2487	0,2158,70	PS50002	http://www.expasy.ch/prosite/PS50002
