14	24584319	24588935	Methionyl/Leucyl_tRNA_Synth	406.0	-	24584319	24588935	83,88,95	3	4487,-334,3993	0,2704,623	PF09334	http://pfam.sanger.ac.uk/family?acc=PF09334
14	24584586	24584633	Met-tRNA_synth	645.0	-	24584586	24584633	83,88,95	1	47	0	PR01041	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01041&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01041
14	24584415	24584549	Cys-tRNA/MSH_ligase	22.5	-	24584415	24584549	83,88,95	1	134	0	PF01406	http://pfam.sanger.ac.uk/family?acc=PF01406
14	24586710	24588956	aa-tRNA-synth_Ia	40.7	-	24586710	24588956	83,88,95	2	2096,1933	0,313	PF00133	http://pfam.sanger.ac.uk/family?acc=PF00133
14	24584421	24584723	aa-tRNA-synth_Ia	34.0	-	24584421	24584723	83,88,95	1	302	0	PF00133	http://pfam.sanger.ac.uk/family?acc=PF00133
14	24584685	24584720	Met-tRNA_synth	485.0	-	24584685	24584720	83,88,95	1	35	0	PR01041	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01041&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01041
14	24584322	24584357	Met-tRNA_synth	257.0	-	24584322	24584357	83,88,95	1	35	0	PR01041	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01041&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01041
14	24583905	24588935	Met-tRNA_synth	442.7	-	24583905	24588935	83,88,95	3	4901,-334,3993	0,3118,1037	TIGR00398	http://www.ebi.ac.uk/interpro/signature/TIGR00398
14	24586872	24586907	Met-tRNA_synth	255.0	-	24586872	24586907	83,88,95	1	35	0	PR01041	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01041&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01041
14	24587007	24588833	Met-tRNA_synth	331.0	-	24587007	24588833	83,88,95	2	1799,1810	0,16	PR01041	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01041&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01041
14	24588888	24588929	Met-tRNA_synth	448.0	-	24588888	24588929	83,88,95	1	41	0	PR01041	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01041&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01041
14	24583821	24584354	tRNAsynth_1a_anticodon-bd	0.0	-	24583821	24584354	83,88,95	1	533	0	SSF47323	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF47323
