18	28402813	28621725	Spondin_N	259.8	-	28402813	28621725	83,88,95	5	218846,-148,-64,-201,218808	0,203419,32983,2633,104	PF06468	http://pfam.sanger.ac.uk/family?acc=PF06468
18	28399643	28399789	Thrombospondin_1_rpt	47.7	-	28399643	28399789	83,88,95	1	146	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
18	28390134	28390283	Thrombospondin_1_rpt	51.6	-	28390134	28390283	83,88,95	1	149	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
18	28384736	28384882	Thrombospondin_1_rpt	53.4	-	28384736	28384882	83,88,95	1	146	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
18	28384108	28384251	Thrombospondin_1_rpt	58.0	-	28384108	28384251	83,88,95	1	143	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
18	28380928	28381074	Thrombospondin_1_rpt	46.3	-	28380928	28381074	83,88,95	1	146	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
18	28377903	28378049	Thrombospondin_1_rpt	36.0	-	28377903	28378049	83,88,95	1	146	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
18	28627134	28692624	Reeler_dom	106.1	-	28627134	28692624	83,88,95	4	65379,-106,-133,65451	0,63545,24318,39	PF02014	http://pfam.sanger.ac.uk/family?acc=PF02014
18	28399640	28399792	Thrombospondin_1_rpt	41.5	-	28399640	28399792	83,88,95	1	152	0	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
18	28384901	28390286	Thrombospondin_1_rpt	61.1	-	28384901	28390286	83,88,95	2	5232,5384	0,1	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
18	28384270	28384885	Thrombospondin_1_rpt	62.7	-	28384270	28384885	83,88,95	2	465,614	0,1	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
18	28381090	28384254	Thrombospondin_1_rpt	66.7	-	28381090	28384254	83,88,95	2	3017,3163	0,1	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
18	28380925	28381077	Thrombospondin_1_rpt	62.5	-	28380925	28381077	83,88,95	1	152	0	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
18	28377906	28378055	Thrombospondin_1_rpt	31.2	-	28377906	28378055	83,88,95	1	149	0	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
18	28377906	28378064	Thrombospondin_1_rpt	8.947000000000001	-	28377906	28378064	83,88,95	1	158	0	PS50092	http://www.expasy.ch/prosite/PS50092
18	28380925	28381086	Thrombospondin_1_rpt	12.038	-	28380925	28381086	83,88,95	1	161	0	PS50092	http://www.expasy.ch/prosite/PS50092
18	28381090	28384263	Thrombospondin_1_rpt	12.713	-	28381090	28384263	83,88,95	2	3017,3172	0,1	PS50092	http://www.expasy.ch/prosite/PS50092
18	28384270	28384894	Thrombospondin_1_rpt	11.95	-	28384270	28384894	83,88,95	2	465,623	0,1	PS50092	http://www.expasy.ch/prosite/PS50092
18	28384901	28390295	Thrombospondin_1_rpt	12.159	-	28384901	28390295	83,88,95	2	5232,5393	0,1	PS50092	http://www.expasy.ch/prosite/PS50092
18	28399640	28399801	Thrombospondin_1_rpt	10.397	-	28399640	28399801	83,88,95	1	161	0	PS50092	http://www.expasy.ch/prosite/PS50092
18	28402846	28621752	Spondin_N	84.266	-	28402846	28621752	83,88,95	5	218813,-148,-64,-201,218835	0,203386,32950,2600,71	PS51020	http://www.expasy.ch/prosite/PS51020
18	28621750	28692678	Reeler_dom	43.297	-	28621750	28692678	83,88,95	5	70763,-106,-133,-73,70897	0,68929,29702,5423,31	PS51019	http://www.expasy.ch/prosite/PS51019
18	28384736	28390136	Thrombospondin_1_rpt	0.0	-	28384736	28390136	83,88,95	2	5397,5234	0,166	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
18	28380934	28381089	Thrombospondin_1_rpt	0.0	-	28380934	28381089	83,88,95	1	155	0	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
18	28384108	28384272	Thrombospondin_1_rpt	0.0	-	28384108	28384272	83,88,95	1	164	0	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
18	28390143	28390298	Thrombospondin_1_rpt	0.0	-	28390143	28390298	83,88,95	1	155	0	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
18	28377903	28380837	Thrombospondin_1_rpt	0.0	-	28377903	28380837	83,88,95	2	2922,2774	0,160	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
18	28399643	28399813	Thrombospondin_1_rpt	0.0	-	28399643	28399813	83,88,95	1	170	0	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
