16	3358818	3411428	TGF-b_N	128.3	-	3358818	3411428	83,88,95	4	52316,-163,-132,52582	0,7474,1990,28	PF00688	http://pfam.sanger.ac.uk/family?acc=PF00688
16	3348967	3351010	TGF-b_C	103.3	-	3348967	3351010	83,88,95	2	1900,1888	0,155	PF00019	http://pfam.sanger.ac.uk/family?acc=PF00019
16	3411411	3411476	TGFb2	495.0	-	3411411	3411476	83,88,95	1	65	0	PR01425	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01425&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01425
16	3411273	3411332	TGFb2	708.0	-	3411273	3411332	83,88,95	1	59	0	PR01425	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01425&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01425
16	3411186	3411254	TGFb2	976.0	-	3411186	3411254	83,88,95	1	68	0	PR01425	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01425&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01425
16	3366246	3366293	TGFb2	292.0	-	3366246	3366293	83,88,95	1	47	0	PR01425	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01425&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01425
16	3366150	3366185	TGFb2	551.0	-	3366150	3366185	83,88,95	1	35	0	PR01425	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01425&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01425
16	3360767	3360805	TGFb2	517.0	-	3360767	3360805	83,88,95	1	38	0	PR01425	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01425&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01425
16	3358743	3358793	TGFb2	824.0	-	3358743	3358793	83,88,95	1	50	0	PR01425	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01425&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01425
16	3411399	3411458	TGF-beta	508.0	-	3411399	3411458	83,88,95	1	59	0	PR01423	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01423&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01423
16	3411258	3411296	TGF-beta	354.0	-	3411258	3411296	83,88,95	1	38	0	PR01423	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01423&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01423
16	3360794	3366158	TGF-beta	390.0	-	3360794	3366158	83,88,95	2	5335,5350	0,14	PR01423	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01423&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01423
16	3360731	3360778	TGF-beta	359.0	-	3360731	3360778	83,88,95	1	47	0	PR01423	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01423&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01423
16	3360683	3360727	TGF-beta	628.0	-	3360683	3360727	83,88,95	1	44	0	PR01423	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01423&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01423
16	3411414	3411473	Transform_grow_fac_b3	336.0	-	3411414	3411473	83,88,95	1	59	0	PR01426	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01426&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01426
16	3411201	3411254	Transform_grow_fac_b3	310.0	-	3411201	3411254	83,88,95	1	53	0	PR01426	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01426&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01426
16	3366150	3366188	Transform_grow_fac_b3	284.0	-	3366150	3366188	83,88,95	1	38	0	PR01426	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01426&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01426
16	3360737	3360796	Transform_grow_fac_b3	267.0	-	3360737	3360796	83,88,95	1	59	0	PR01426	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01426&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01426
16	3358815	3360688	Transform_grow_fac_b3	446.0	-	3358815	3360688	83,88,95	2	1861,1842	0,31	PR01426	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01426&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01426
16	3355000	3355053	Transform_grow_fac_b3	184.0	-	3355000	3355053	83,88,95	1	53	0	PR01426	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01426&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01426
16	3354916	3354960	Transform_grow_fac_b3	235.0	-	3354916	3354960	83,88,95	1	44	0	PR01426	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01426&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01426
16	3348967	3351004	TGF-b_C	133.6	-	3348967	3351004	83,88,95	2	1900,1882	0,155	SM00204	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00204
16	3348967	3411482	TGF-beta	951.7	-	3348967	3411482	83,88,95	7	62167,-163,-132,-110,-168,-153,62360	0,17325,11841,9879,6088,2053,155	PIRSF001787	None
