12	49124914	49152113	7TM_GPCR_olfarory/Srsx	31.2	-	49124914	49152113	83,88,95	6	27025,-167,-61,-235,-97,27069	0,22714,17877,7914,3209,130	PF10320	http://pfam.sanger.ac.uk/family?acc=PF10320
12	49132715	49152119	7TM_GPCR_serpentine_rcpt_Srx	23.4	-	49132715	49152119	83,88,95	4	19224,-167,-61,19291	0,14913,10076,113	PF10328	http://pfam.sanger.ac.uk/family?acc=PF10328
12	49152027	49152065	NPY_rcpt	267.0	-	49152027	49152065	83,88,95	1	38	0	PR01012	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01012&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01012
12	49147540	49147587	NPY_rcpt	226.0	-	49147540	49147587	83,88,95	1	47	0	PR01012	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01012&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01012
12	49147519	49147587	GPCR_Rhodpsn	277.0	-	49147519	49147587	83,88,95	1	68	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
12	49151976	49152041	GPCR_Rhodpsn	374.0	-	49151976	49152041	83,88,95	1	65	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
12	49152066	49152140	GPCR_Rhodpsn	345.0	-	49152066	49152140	83,88,95	1	74	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
12	49124920	49125000	GPCR_Rhodpsn	456.0	-	49124920	49125000	83,88,95	1	80	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
12	49132676	49132747	GPCR_Rhodpsn	271.0	-	49132676	49132747	83,88,95	1	71	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
12	49128036	49128110	GPCR_Rhodpsn	503.0	-	49128036	49128110	83,88,95	1	74	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
12	49151943	49151996	NPFF_rcpt	455.0	-	49151943	49151996	83,88,95	1	53	0	PR01570	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01570&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01570
12	49147486	49147530	NPFF_rcpt	225.0	-	49147486	49147530	83,88,95	1	44	0	PR01570	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01570&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01570
12	49142745	49147479	GPCR_Rhodpsn	245.0	-	49142745	49147479	83,88,95	2	4716,4688	0,46	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
12	49124944	49152095	GPCR_Rhodpsn	201.7	-	49124944	49152095	83,88,95	6	26995,-167,-61,-235,-97,27051	0,22684,17847,7884,3179,100	PF00001	http://pfam.sanger.ac.uk/family?acc=PF00001
12	49152075	49152113	NPFF_rcpt	367.0	-	49152075	49152113	83,88,95	1	38	0	PR01570	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01570&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01570
12	49124911	49124952	NPY_rcpt	373.0	-	49124911	49124952	83,88,95	1	41	0	PR01012	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01012&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01012
12	49124944	49152095	GPCR_Rhodpsn_7TM	46.049	-	49124944	49152095	83,88,95	6	26995,-167,-61,-235,-97,27051	0,22684,17847,7884,3179,100	PS50262	http://www.expasy.ch/prosite/PS50262
