17	7241409	7276585	ANF_lig-bd_rcpt	311.4	-	7241409	7276585	83,88,95	5	34705,-249,-241,-246,35155	0,25693,12064,1416,21	PF01094	http://pfam.sanger.ac.uk/family?acc=PF01094
17	7230687	7231397	GPCR_3_C	240.4	-	7230687	7231397	83,88,95	1	710	0	PF00003	http://pfam.sanger.ac.uk/family?acc=PF00003
17	7222776	7222928	Metabotropic_Glu_rcpt_Homer-bd	90.5	-	7222776	7222928	83,88,95	1	152	0	PF10606	http://pfam.sanger.ac.uk/family?acc=PF10606
17	7238012	7241300	GPCR_3_9-Cys_dom	61.2	-	7238012	7241300	83,88,95	2	3247,3178	0,110	PF07562	http://pfam.sanger.ac.uk/family?acc=PF07562
17	7276652	7276690	GPCR_3	475.0	-	7276652	7276690	83,88,95	1	38	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
17	7276544	7276591	GPCR_3	473.0	-	7276544	7276591	83,88,95	1	47	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
17	7276487	7276546	GPCR_3	665.0	-	7276487	7276546	83,88,95	1	59	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
17	7276259	7276339	GPCR_3	757.0	-	7276259	7276339	83,88,95	1	80	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
17	7276181	7276240	GPCR_3	596.0	-	7276181	7276240	83,88,95	1	59	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
17	7276133	7276183	GPCR_3	555.0	-	7276133	7276183	83,88,95	1	50	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
17	7267071	7276135	GPCR_3	561.0	-	7267071	7276135	83,88,95	2	9043,9033	0,31	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
