8	48818728	48822870	ANF_lig-bd_rcpt	193.2	-	48818728	48822870	83,88,95	3	3870,-746,4038	0,1634,104	PF01094	http://pfam.sanger.ac.uk/family?acc=PF01094
8	48813641	48814360	GPCR_3_C	185.6	-	48813641	48814360	83,88,95	1	719	0	PF00003	http://pfam.sanger.ac.uk/family?acc=PF00003
8	48814451	48818548	GPCR_3_9-Cys_dom	49.8	-	48814451	48818548	83,88,95	2	3980,4054	0,43	PF07562	http://pfam.sanger.ac.uk/family?acc=PF07562
8	48822829	48822876	GPCR_3	385.0	-	48822829	48822876	83,88,95	1	47	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48822772	48822831	GPCR_3	553.0	-	48822772	48822831	83,88,95	1	59	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48820354	48822669	GPCR_3	345.0	-	48820354	48822669	83,88,95	2	2244,2307	0,8	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48820276	48820335	GPCR_3	377.0	-	48820276	48820335	83,88,95	1	59	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48820228	48820278	GPCR_3	332.0	-	48820228	48820278	83,88,95	1	50	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48820177	48820230	GPCR_3	297.0	-	48820177	48820230	83,88,95	1	53	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48814238	48814306	GPCR_3	392.0	-	48814238	48814306	83,88,95	1	68	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48814106	48814171	GPCR_3	166.0	-	48814106	48814171	83,88,95	1	65	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48813980	48814051	GPCR_3	188.0	-	48813980	48814051	83,88,95	1	71	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48813815	48813886	GPCR_3	383.0	-	48813815	48813886	83,88,95	1	71	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48813752	48813817	GPCR_3	449.0	-	48813752	48813817	83,88,95	1	65	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48823049	48823087	GPCR_3	494.0	-	48823049	48823087	83,88,95	1	38	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
8	48813593	48814390	GPCR_3_C	37.912	-	48813593	48814390	83,88,95	1	797	0	PS50259	http://www.expasy.ch/prosite/PS50259
8	48818629	48823105	Peripla_BP_I	0.0	-	48818629	48823105	83,88,95	4	4367,-297,-746,4273	0,4266,1733,203	SSF53822	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF53822
