13	36072980	36077378	Thrombospondin_C	317.4	+	36072980	36077378	83,88,95	5	81,271,97,139,4	0,177,920,2543,4394	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
13	36054121	36054258	Thrombospondin_1_rpt	44.3	+	36054121	36054258	83,88,95	1	137	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	36059223	36059375	Thrombospondin_1_rpt	59.0	+	36059223	36059375	83,88,95	1	152	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	36059953	36060105	Thrombospondin_1_rpt	56.5	+	36059953	36060105	83,88,95	1	152	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
13	36067206	36067244	Thrombospondin_3-like_rpt	7.9	+	36067206	36067244	83,88,95	1	38	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36067245	36067385	Thrombospondin_3-like_rpt	13.0	+	36067245	36067385	83,88,95	2	35,11	0,129	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36067410	36067454	Thrombospondin_3-like_rpt	12.3	+	36067410	36067454	83,88,95	1	44	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36067479	36067511	Thrombospondin_3-like_rpt	10.3	+	36067479	36067511	83,88,95	1	32	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36067518	36068429	Thrombospondin_3-like_rpt	10.2	+	36067518	36068429	83,88,95	2	15,28	0,883	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36068451	36068498	Thrombospondin_3-like_rpt	13.8	+	36068451	36068498	83,88,95	1	47	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36068602	36068640	Thrombospondin_3-like_rpt	6.8	+	36068602	36068640	83,88,95	1	38	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36068647	36068694	Thrombospondin_3-like_rpt	18.1	+	36068647	36068694	83,88,95	1	47	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36068758	36068799	Thrombospondin_3-like_rpt	11.0	+	36068758	36068799	83,88,95	1	41	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36068827	36072859	Thrombospondin_3-like_rpt	13.6	+	36068827	36072859	83,88,95	2	9,25	0,4007	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36072860	36072907	Thrombospondin_3-like_rpt	13.8	+	36072860	36072907	83,88,95	1	47	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
13	36051070	36051317	VWF_C	49.2	+	36051070	36051317	83,88,95	2	74,89	0,158	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
13	36061986	36063708	EGF-like_Ca-bd_dom	27.0	+	36061986	36063708	83,88,95	2	11,107	0,1615	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
13	36065852	36065977	EG-like_dom	20.9	+	36065852	36065977	83,88,95	1	125	0	SM00181	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00181
