2	52532362	52556894	GPCR_2-like	44.567	-	52532362	52556894	83,88,95	10	24512,-5,-131,-153,-60,-69,-91,-83,-129,24497	0,24165,23195,19035,15007,13389,13224,9505,3385,35	PS50261	http://www.expasy.ch/prosite/PS50261
2	52555462	52555536	GPCR_2_secretin-like	678.0	-	52555462	52555536	83,88,95	1	74	0	PR00249	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00249&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00249
2	52551314	52551385	GPCR_2_secretin-like	771.0	-	52551314	52551385	83,88,95	1	71	0	PR00249	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00249&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00249
2	52547320	52551271	GPCR_2_secretin-like	669.0	-	52547320	52551271	83,88,95	2	3924,3902	0,49	PR00249	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00249&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00249
2	52545545	52545717	GPCR_2_secretin-like	730.0	-	52545545	52545717	83,88,95	2	137,131	0,41	PR00249	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00249&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00249
2	52535681	52535743	GPCR_2_secretin-like	684.0	-	52535681	52535743	83,88,95	1	62	0	PR00249	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00249&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00249
2	52532365	52535650	GPCR_2_secretin-like	724.0	-	52532365	52535650	83,88,95	2	3253,3253	0,32	PR00249	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00249&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00249
2	52551386	52555464	GPCR_2_PACAP_1_rcpt	752.0	-	52551386	52555464	83,88,95	2	4040,4067	0,11	PR01156	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01156&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01156
2	52535639	52535683	GPCR_2_PACAP_1_rcpt	650.0	-	52535639	52535683	83,88,95	1	44	0	PR01156	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01156&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01156
2	52526438	52526488	GPCR_2_PACAP_1_rcpt	820.0	-	52526438	52526488	83,88,95	1	50	0	PR01156	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01156&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01156
2	52526375	52526440	GPCR_2_PACAP_1_rcpt	600.0	-	52526375	52526440	83,88,95	1	65	0	PR01156	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01156&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01156
2	52532386	52556894	GPCR_2_secretin-like	270.2	-	52532386	52556894	83,88,95	10	24488,-5,-131,-153,-60,-69,-91,-83,-129,24497	0,24141,23171,19011,14983,13365,13200,9481,3361,11	PF00002	http://pfam.sanger.ac.uk/family?acc=PF00002
