11	7028074	7036449	Thrombospondin_C	352.5	-	7028074	7036449	83,88,95	6	8343,-48,-196,-172,-139,8365	0,5957,5826,3055,2351,10	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
11	7047559	7047882	EGF-like_Ca-bd_dom	28.9	-	7047559	7047882	83,88,95	2	312,231	0,92	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
11	7045690	7047417	EGF-like_Ca-bd_dom	29.4	-	7045690	7047417	83,88,95	2	1662,1668	0,59	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
11	7048018	7048476	Thbs/COMP_coiled-coil	44.4	-	7048018	7048476	83,88,95	3	390,-51,457	0,146,1	PF11598	http://pfam.sanger.ac.uk/family?acc=PF11598
11	7045447	7045476	Thrombospondin_3-like_rpt	4.4	-	7045447	7045476	83,88,95	1	29	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7045242	7045280	Thrombospondin_3-like_rpt	7.2	-	7045242	7045280	83,88,95	1	38	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7043322	7045241	Thrombospondin_3-like_rpt	11.9	-	7043322	7045241	83,88,95	2	1884,1911	0,8	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7043190	7043228	Thrombospondin_3-like_rpt	5.4	-	7043190	7043228	83,88,95	1	38	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7041592	7043189	Thrombospondin_3-like_rpt	10.2	-	7041592	7043189	83,88,95	2	1579,1569	0,28	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7041532	7041570	Thrombospondin_3-like_rpt	8.3	-	7041532	7041570	83,88,95	1	38	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7039268	7039306	Thrombospondin_3-like_rpt	5.9	-	7039268	7039306	83,88,95	1	38	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7039127	7039261	Thrombospondin_3-like_rpt	18.9	-	7039127	7039261	83,88,95	2	127,95	0,39	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7039067	7039102	Thrombospondin_3-like_rpt	12.2	-	7039067	7039102	83,88,95	1	35	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7039034	7039066	Thrombospondin_3-like_rpt	3.9	-	7039034	7039066	83,88,95	1	32	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7036579	7038985	Thrombospondin_3-like_rpt	7.4	-	7036579	7038985	83,88,95	2	2394,2390	0,16	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7036522	7036569	Thrombospondin_3-like_rpt	11.2	-	7036522	7036569	83,88,95	1	47	0	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
11	7047550	7047882	EG-like_dom	10.489	-	7047550	7047882	83,88,95	2	321,231	0,101	PS50026	http://www.expasy.ch/prosite/PS50026
11	7045477	7045686	EG-like_dom	8.66	-	7045477	7045686	83,88,95	2	120,171	0,38	PS50026	http://www.expasy.ch/prosite/PS50026
11	7047883	7047993	EG-like_dom	26.4	-	7047883	7047993	83,88,95	1	110	0	SM00181	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00181
11	7047883	7047990	EGF-like_Ca-bd_dom	1.6	-	7047883	7047990	83,88,95	1	107	0	SM00179	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00179
11	7047418	7047882	EGF-like_Ca-bd_dom	42.1	-	7047418	7047882	83,88,95	3	453,-137,456	0,233,8	SM00179	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00179
11	7047418	7047873	EG-like_dom	28.7	-	7047418	7047873	83,88,95	3	453,-137,447	0,233,8	SM00181	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00181
11	7045687	7047417	EGF-like_Ca-bd_dom	45.1	-	7045687	7047417	83,88,95	2	1665,1668	0,62	SM00179	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00179
11	7045687	7047408	EG-like_dom	25.5	-	7045687	7047408	83,88,95	2	1665,1659	0,62	SM00181	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00181
11	7045477	7045677	EG-like_dom	11.7	-	7045477	7045677	83,88,95	2	120,162	0,38	SM00181	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00181
11	7028080	7036500	ConA-like_lec_gl_sf	0.0	-	7028080	7036500	83,88,95	6	8337,-48,-196,-172,-139,8416	0,5951,5820,3049,2345,4	SSF49899	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF49899
