7	34997373	35018222	Groucho/TLE_N	244.3	-	34997373	35018222	83,88,95	7	20826,-100,-63,-44,-62,-104,20817	0,20150,19790,17989,9822,9666,32	PF03920	http://pfam.sanger.ac.uk/family?acc=PF03920
7	34983807	34984448	WD40_repeat	6.1	-	34983807	34984448	83,88,95	2	603,564	0,77	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
7	34984455	34984685	WD40_repeat	44.6	-	34984455	34984685	83,88,95	2	214,128	0,102	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
7	34983789	34983857	Groucho_enhance	1076.0	-	34983789	34983857	83,88,95	1	68	0	PR01850	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01850&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01850
7	34983366	34983788	Groucho_enhance	1006.0	-	34983366	34983788	83,88,95	2	368,421	0,1	PR01850	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01850&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01850
7	34983306	34983365	Groucho_enhance	1145.0	-	34983306	34983365	83,88,95	1	59	0	PR01850	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01850&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01850
7	34981680	34983305	Groucho_enhance	887.0	-	34981680	34983305	83,88,95	2	1611,1581	0,44	PR01850	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01850&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01850
7	34981620	34981679	Groucho_enhance	993.0	-	34981620	34981679	83,88,95	1	59	0	PR01850	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01850&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01850
7	34984692	34984811	WD40_repeat	29.4	-	34984692	34984811	83,88,95	1	119	0	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
7	34984824	34987249	WD40_repeat	22.3	-	34984824	34987249	83,88,95	2	2393,2333	0,92	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
7	34981632	34981715	WD40_repeat	16.0	-	34981632	34981715	83,88,95	1	83	0	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
7	34983321	34983791	WD40_repeat	16.1	-	34983321	34983791	83,88,95	2	413,424	0,46	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
7	34984455	34984676	WD40_repeat	33.4	-	34984455	34984676	83,88,95	2	214,119	0,102	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
7	34984692	34984793	WD40_repeat	21.1	-	34984692	34984793	83,88,95	1	101	0	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
7	34984824	34984907	WD40_repeat	12.0	-	34984824	34984907	83,88,95	1	83	0	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
7	34987265	34987354	WD40_repeat	13.8	-	34987265	34987354	83,88,95	1	89	0	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
7	34981629	34983317	WD40_repeat	20.1	-	34981629	34983317	83,88,95	2	1662,1593	0,95	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
7	34987265	34987378	WD40_repeat	22.7	-	34987265	34987378	83,88,95	1	113	0	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
7	34983318	34983803	WD40_repeat	22.2	-	34983318	34983803	83,88,95	2	416,436	0,49	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
7	34984554	34984790	WD40_repeat	9.506	-	34984554	34984790	83,88,95	2	115,233	0,3	PS50082	http://www.expasy.ch/prosite/PS50082
7	34984428	34984553	WD40_repeat	14.418	-	34984428	34984553	83,88,95	1	125	0	PS50082	http://www.expasy.ch/prosite/PS50082
7	34984428	34987360	WD40_repeat_dom	25.365	-	34984428	34987360	83,88,95	3	2789,-247,2803	0,488,129	PS50294	http://www.expasy.ch/prosite/PS50294
7	34981620	34983782	WD40_repeat_dom	9.23	-	34981620	34983782	83,88,95	3	2114,-76,2058	0,1747,104	PS50294	http://www.expasy.ch/prosite/PS50294
7	34981620	34987875	WD40_repeat_dom	0.0	-	34981620	34987875	83,88,95	7	6227,-249,-247,-147,-150,-76,6151	0,5846,3296,2937,2264,1747,104	SSF50978	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF50978
