14	43069313	43081782	Integrin_alpha-2	319.2	-	43069313	43081782	83,88,95	13	12381,-64,-151,-143,-115,-156,-83,-79,-74,-102,-176,-110,12431	0,12298,11931,8601,8159,7334,4974,4798,4583,4211,3889,1877,38	PF08441	http://pfam.sanger.ac.uk/family?acc=PF08441
14	43083647	43085388	FG-GAP	21.5	-	43083647	43085388	83,88,95	2	1701,1660	0,81	PF01839	http://pfam.sanger.ac.uk/family?acc=PF01839
14	43083393	43083562	FG-GAP	21.1	-	43083393	43083562	83,88,95	2	130,114	0,55	PF01839	http://pfam.sanger.ac.uk/family?acc=PF01839
14	43085539	43086773	Integrin_alpha	210.0	-	43085539	43086773	83,88,95	2	1222,1209	0,25	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
14	43085482	43085517	Integrin_alpha	286.0	-	43085482	43085517	83,88,95	1	35	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
14	43085347	43085409	Integrin_alpha	482.0	-	43085347	43085409	83,88,95	1	62	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
14	43083429	43083577	Integrin_alpha	709.0	-	43083429	43083577	83,88,95	2	94,129	0,19	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
14	43082838	43082903	Integrin_alpha	701.0	-	43082838	43082903	83,88,95	1	65	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
14	43081741	43082825	Integrin_alpha	345.0	-	43081741	43082825	83,88,95	2	1068,1042	0,42	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
14	43077861	43077902	Integrin_alpha	260.0	-	43077861	43077902	83,88,95	1	41	0	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
14	43064447	43065894	Integrin_alpha	298.0	-	43064447	43065894	83,88,95	2	1406,1430	0,17	PR01185	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01185&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01185
14	43087561	43089921	Int_alpha_beta-p	34.1	-	43087561	43089921	83,88,95	2	2296,2237	0,123	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
14	43085410	43086776	Int_alpha_beta-p	18.5	-	43085410	43086776	83,88,95	2	1351,1212	0,154	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
14	43083599	43085400	Int_alpha_beta-p	53.8	-	43083599	43085400	83,88,95	2	1749,1672	0,129	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
14	43082931	43083586	Int_alpha_beta-p	57.2	-	43082931	43083586	83,88,95	3	592,-91,650	0,517,5	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
14	43081723	43082915	Int_alpha_beta-p	9.2	-	43081723	43082915	83,88,95	2	1086,1132	0,60	SM00191	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00191
