8	16573706	16631687	ELAD_HUD_SF	575.3	+	16573706	16631687	83,88,95	6	123,103,153,225,38,321	0,22208,38979,49477,55208,57660	TIGR01661	http://www.ebi.ac.uk/interpro/signature/TIGR01661
8	16573721	16596017	RRM_dom	70.8	+	16573721	16596017	83,88,95	2	108,103	0,22193	PF00076	http://pfam.sanger.ac.uk/family?acc=PF00076
8	16612730	16623271	RRM_dom	69.2	+	16612730	16623271	83,88,95	2	108,88	0,10453	PF00076	http://pfam.sanger.ac.uk/family?acc=PF00076
8	16631445	16631654	RRM_dom	73.4	+	16631445	16631654	83,88,95	1	209	0	PF00076	http://pfam.sanger.ac.uk/family?acc=PF00076
8	16623251	16623304	Hud_Sxl_RNA	682.0	+	16623251	16623304	83,88,95	1	53	0	PR00961	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00961&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00961
8	16573715	16573762	Hud_Sxl_RNA	768.0	+	16573715	16573762	83,88,95	1	47	0	PR00961	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00961&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00961
8	16595970	16596017	Hud_Sxl_RNA	643.0	+	16595970	16596017	83,88,95	1	47	0	PR00961	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00961&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00961
8	16612685	16612738	Hud_Sxl_RNA	762.0	+	16612685	16612738	83,88,95	1	53	0	PR00961	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00961&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00961
8	16612739	16612786	Hud_Sxl_RNA	636.0	+	16612739	16612786	83,88,95	1	47	0	PR00961	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00961&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00961
8	16612784	16612822	Hud_Sxl_RNA	514.0	+	16612784	16612822	83,88,95	1	38	0	PR00961	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00961&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00961
8	16631442	16631663	RRM_dom	100.0	+	16631442	16631663	83,88,95	1	221	0	SM00360	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00360
8	16612727	16623298	RRM_dom	81.2	+	16612727	16623298	83,88,95	2	111,115	0,10456	SM00360	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00360
8	16573718	16612690	RRM_dom	95.0	+	16573718	16612690	83,88,95	3	111,103,5	0,22196,38967	SM00360	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00360
8	16573715	16612702	RRM_dom	18.871	+	16573715	16612702	83,88,95	3	114,103,17	0,22199,38970	PS50102	http://www.expasy.ch/prosite/PS50102
8	16612724	16623310	RRM_dom	18.462	+	16612724	16623310	83,88,95	2	114,127	0,10459	PS50102	http://www.expasy.ch/prosite/PS50102
8	16631439	16631675	RRM_dom	17.745	+	16631439	16631675	83,88,95	1	236	0	PS50102	http://www.expasy.ch/prosite/PS50102
