24	35130650	35154889	EnaC	452.3	-	35130650	35154889	83,88,95	9	24144,-150,-127,-150,-56,-153,-91,-79,24192	0,13782,10033,5176,2549,2324,1653,1469,47	TIGR00859	http://www.ebi.ac.uk/interpro/signature/TIGR00859
24	35132046	35155291	Na+channel_ASC	570.7	-	35132046	35155291	83,88,95	9	22944,-177,-150,-127,-150,-56,-153,-91,23172	0,22925,12386,8637,3780,1153,928,257,73	PF00858	http://pfam.sanger.ac.uk/family?acc=PF00858
24	35155190	35155243	Na+channel_ASC	232.0	-	35155190	35155243	83,88,95	1	53	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
24	35155073	35155123	Na+channel_ASC	411.0	-	35155073	35155123	83,88,95	1	50	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
24	35144397	35154808	Na+channel_ASC	298.0	-	35144397	35154808	83,88,95	2	10397,10376	0,35	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
24	35140607	35140663	Na+channel_ASC	474.0	-	35140607	35140663	83,88,95	1	56	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
24	35135794	35140573	Na+channel_ASC	219.0	-	35135794	35140573	83,88,95	2	4762,4747	0,32	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
24	35132877	35132939	Na+channel_ASC	362.0	-	35132877	35132939	83,88,95	1	62	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
24	35132243	35132822	Na+channel_ASC	375.0	-	35132243	35132822	83,88,95	2	578,519	0,60	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
24	35132109	35132245	Na+channel_ASC	236.0	-	35132109	35132245	83,88,95	2	103,126	0,10	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
24	35132061	35132111	Na+channel_ASC	489.0	-	35132061	35132111	83,88,95	1	50	0	PR01078	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01078&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01078
