18	44153486	44159735	Suf	284.2	-	44153486	44159735	83,88,95	8	6244,-143,-102,-69,-195,-150,-94,6193	0,6172,4220,3692,2813,922,672,56	PF05843	http://pfam.sanger.ac.uk/family?acc=PF05843
18	44168088	44173433	HAT	42.0	-	44168088	44173433	83,88,95	2	5253,5340	0,5	SM00386	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00386
18	44166201	44168084	HAT	28.6	-	44166201	44168084	83,88,95	2	1860,1812	0,71	SM00386	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00386
18	44165162	44166182	HAT	20.5	-	44165162	44166182	83,88,95	3	1013,-66,988	0,182,32	SM00386	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00386
18	44164523	44165042	HAT	29.8	-	44164523	44165042	83,88,95	2	421,517	0,2	SM00386	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00386
18	44162057	44162155	HAT	12.7	-	44162057	44162155	83,88,95	1	98	0	SM00386	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00386
18	44161624	44162029	HAT	14.0	-	44161624	44162029	83,88,95	2	390,323	0,82	SM00386	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00386
18	44159802	44161430	HAT	12.5	-	44159802	44161430	83,88,95	2	1530,1626	0,2	SM00386	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00386
18	44159626	44159798	HAT	17.8	-	44159626	44159798	83,88,95	2	104,140	0,32	SM00386	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00386
18	44159524	44159622	HAT	4.4	-	44159524	44159622	83,88,95	1	98	0	SM00386	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00386
18	44157611	44159517	HAT	16.6	-	44157611	44159517	83,88,95	2	1904,1811	0,95	SM00386	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00386
18	44156263	44157607	HAT	17.1	-	44156263	44157607	83,88,95	3	1341,-69,1308	0,915,36	SM00386	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00386
