9	38599347	38666051	Semap_dom	431.6	-	38599347	38666051	83,88,95	9	66655,-45,-62,-98,-213,-285,-135,-207,66580	0,66539,26866,23663,23479,16558,2868,2456,124	PF01403	http://pfam.sanger.ac.uk/family?acc=PF01403
9	38574250	38574399	Thrombospondin_1_rpt	13.2	-	38574250	38574399	83,88,95	1	149	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	38569431	38572012	Thrombospondin_1_rpt	34.4	-	38569431	38572012	83,88,95	2	2451,2557	0,24	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	38566659	38569412	Thrombospondin_1_rpt	34.4	-	38566659	38569412	83,88,95	2	2649,2724	0,29	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	38560378	38560530	Thrombospondin_1_rpt	25.0	-	38560378	38560530	83,88,95	1	152	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	38556985	38557134	Thrombospondin_1_rpt	32.4	-	38556985	38557134	83,88,95	1	149	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	38549789	38549902	Thrombospondin_1_rpt	18.5	-	38549789	38549902	83,88,95	1	113	0	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	38599341	38666054	Semap_dom	537.7	-	38599341	38666054	83,88,95	9	66661,-45,-62,-98,-213,-285,-135,-207,66583	0,66545,26872,23669,23485,16564,2874,2462,130	SM00630	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00630
9	38545933	38549908	Thrombospondin_1_rpt	22.6	-	38545933	38549908	83,88,95	2	3846,3968	0,7	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
9	38556982	38557140	Thrombospondin_1_rpt	65.2	-	38556982	38557140	83,88,95	1	158	0	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
9	38560375	38560533	Thrombospondin_1_rpt	51.5	-	38560375	38560533	83,88,95	1	158	0	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
9	38549780	38549914	Thrombospondin_1_rpt	8.421	-	38549780	38549914	83,88,95	1	134	0	PS50092	http://www.expasy.ch/prosite/PS50092
9	38556982	38557149	Thrombospondin_1_rpt	13.485	-	38556982	38557149	83,88,95	1	167	0	PS50092	http://www.expasy.ch/prosite/PS50092
9	38560375	38560539	Thrombospondin_1_rpt	11.78	-	38560375	38560539	83,88,95	1	164	0	PS50092	http://www.expasy.ch/prosite/PS50092
9	38574250	38574411	Thrombospondin_1_rpt	9.637	-	38574250	38574411	83,88,95	1	161	0	PS50092	http://www.expasy.ch/prosite/PS50092
9	38569428	38572024	Thrombospondin_1_rpt	13.360999999999999	-	38569428	38572024	83,88,95	2	2454,2569	0,27	PS50092	http://www.expasy.ch/prosite/PS50092
9	38566656	38569424	Thrombospondin_1_rpt	13.561	-	38566656	38569424	83,88,95	2	2652,2736	0,32	PS50092	http://www.expasy.ch/prosite/PS50092
9	38569428	38572015	Thrombospondin_1_rpt	55.7	-	38569428	38572015	83,88,95	2	2454,2560	0,27	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
9	38599293	38689197	Semap_dom	110.234	-	38599293	38689197	83,88,95	10	89883,-99,-45,-62,-98,-213,-285,-135,-207,89726	0,66808,66593,26920,23717,23533,16612,2922,2510,178	PS51004	http://www.expasy.ch/prosite/PS51004
9	38566656	38569415	Thrombospondin_1_rpt	62.5	-	38566656	38569415	83,88,95	2	2652,2727	0,32	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
9	38572016	38574402	Thrombospondin_1_rpt	15.7	-	38572016	38574402	83,88,95	2	2232,2377	0,9	SM00209	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00209
9	38574658	38599289	Plexin-like_fold	47.6	-	38574658	38599289	83,88,95	2	24606,24514	0,117	SM00423	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00423
9	38599290	38689206	Semap_dom	0.0	-	38599290	38689206	83,88,95	10	89886,-99,-45,-62,-98,-213,-285,-135,-207,89735	0,66811,66596,26923,23720,23536,16615,2925,2513,181	SSF101912	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF101912
9	38556991	38557152	Thrombospondin_1_rpt	0.0	-	38556991	38557152	83,88,95	1	161	0	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
9	38569440	38574249	Thrombospondin_1_rpt	0.0	-	38569440	38574249	83,88,95	3	4808,-143,4794	0,2585,15	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
9	38566659	38569436	Thrombospondin_1_rpt	0.0	-	38566659	38569436	83,88,95	2	2649,2748	0,29	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
9	38560378	38560554	Thrombospondin_1_rpt	0.0	-	38560378	38560554	83,88,95	1	176	0	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
9	38574409	38599289	Plexin-like_fold	0.0	-	38574409	38599289	83,88,95	3	24855,-117,24860	0,366,20	SSF103575	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF103575
9	38574253	38574414	Thrombospondin_1_rpt	0.0	-	38574253	38574414	83,88,95	1	161	0	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
9	38549789	38556987	Thrombospondin_1_rpt	0.0	-	38549789	38556987	83,88,95	2	7192,7074	0,124	SSF82895	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF82895
