25	15542088	15571069	Wilms_tumour_N	551.8	-	15542088	15571069	83,88,95	6	28585,-122,-102,-83,-99,28916	0,22964,17672,10246,2219,65	PF02165	http://pfam.sanger.ac.uk/family?acc=PF02165
25	15541835	15541909	Znf_C2H2	28.8	-	15541835	15541909	83,88,95	1	74	0	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
25	15539362	15539430	Znf_C2H2	22.1	-	15539362	15539430	83,88,95	1	68	0	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
25	15571019	15571069	Wilms_tumour	668.0	-	15571019	15571069	83,88,95	1	50	0	PR00049	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00049&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00049
25	15570962	15571012	Wilms_tumour	582.0	-	15570962	15571012	83,88,95	1	50	0	PR00049	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00049&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00049
25	15542010	15542084	Znf_C2H2-like	21.1	-	15542010	15542084	83,88,95	1	74	0	SM00355	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00355
25	15541835	15541909	Znf_C2H2-like	32.4	-	15541835	15541909	83,88,95	1	74	0	SM00355	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00355
25	15539362	15539430	Znf_C2H2-like	24.4	-	15539362	15539430	83,88,95	1	68	0	SM00355	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00355
25	15535783	15535857	Znf_C2H2-like	24.2	-	15535783	15535857	83,88,95	1	74	0	SM00355	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00355
25	15541910	15542084	Znf_C2H2	13.9	-	15541910	15542084	83,88,95	2	96,164	0,10	PS50157	http://www.expasy.ch/prosite/PS50157
25	15539431	15541909	Znf_C2H2	16.436	-	15539431	15541909	83,88,95	2	2400,2468	0,10	PS50157	http://www.expasy.ch/prosite/PS50157
25	15535867	15539430	Znf_C2H2	14.107999999999999	-	15535867	15539430	83,88,95	2	3482,3562	0,1	PS50157	http://www.expasy.ch/prosite/PS50157
25	15535768	15535857	Znf_C2H2	10.492	-	15535768	15535857	83,88,95	1	89	0	PS50157	http://www.expasy.ch/prosite/PS50157
