2	3255502	3329927	7TM_GPCR_serpentine_rcpt_Srv	22.9	-	3255502	3329927	83,88,95	3	74096,-233,74393	0,24721,32	PF10323	http://pfam.sanger.ac.uk/family?acc=PF10323
2	3255511	3340444	7TM_GPCR_olfarory/Srsx	22.1	-	3255511	3340444	83,88,95	4	84720,-328,-233,84910	0,74415,24712,23	PF10320	http://pfam.sanger.ac.uk/family?acc=PF10320
2	3280008	3340429	GPCR_Rhodpsn	161.1	-	3280008	3340429	83,88,95	3	60223,-328,60206	0,49918,215	PF00001	http://pfam.sanger.ac.uk/family?acc=PF00001
2	3329901	3340255	Peropsin	200.0	-	3329901	3340255	83,88,95	2	10330,10329	0,25	PR01244	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01244&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01244
2	3329652	3329696	Peropsin	165.0	-	3329652	3329696	83,88,95	1	44	0	PR01244	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01244&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01244
2	3280050	3280106	Peropsin	205.0	-	3280050	3280106	83,88,95	1	56	0	PR01244	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01244&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01244
2	3340265	3340300	Peropsin	225.0	-	3340265	3340300	83,88,95	1	35	0	PR01244	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01244&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01244
2	3340301	3340348	Peropsin	260.0	-	3340301	3340348	83,88,95	1	47	0	PR01244	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01244&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01244
2	3340385	3340420	Peropsin	300.0	-	3340385	3340420	83,88,95	1	35	0	PR01244	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01244&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01244
2	3255529	3280064	GPCR_Rhodpsn	395.0	-	3255529	3280064	83,88,95	2	24461,24530	0,5	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
2	3280104	3280178	GPCR_Rhodpsn	434.0	-	3280104	3280178	83,88,95	1	74	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
2	3329613	3329684	GPCR_Rhodpsn	302.0	-	3329613	3329684	83,88,95	1	71	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
2	3329769	3329834	GPCR_Rhodpsn	207.0	-	3329769	3329834	83,88,95	1	65	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
2	3329871	3340243	GPCR_Rhodpsn	236.0	-	3329871	3340243	83,88,95	2	10360,10317	0,55	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
2	3340313	3340378	GPCR_Rhodpsn	280.0	-	3340313	3340378	83,88,95	1	65	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
2	3340403	3340477	GPCR_Rhodpsn	157.0	-	3340403	3340477	83,88,95	1	74	0	PR00237	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00237&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00237
2	3280008	3340432	GPCR_Rhodpsn_7TM	39.89	-	3280008	3340432	83,88,95	3	60223,-328,60209	0,49918,215	PS50262	http://www.expasy.ch/prosite/PS50262
