19	31056460	31059646	His_deacetylse_dom	295.7	+	31056460	31059646	83,88,95	8	98,117,74,138,141,92,108,115	0,184,1570,1730,2477,2703,2882,3071	PF00850	http://pfam.sanger.ac.uk/family?acc=PF00850
19	31056484	31056537	His_deacetylse_1	829.0	+	31056484	31056537	83,88,95	1	53	0	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
19	31056668	31056724	His_deacetylse_1	751.0	+	31056668	31056724	83,88,95	1	56	0	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
19	31058029	31058082	His_deacetylse_1	956.0	+	31058029	31058082	83,88,95	1	53	0	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
19	31058092	31058239	His_deacetylse_1	772.0	+	31058092	31058239	83,88,95	2	12,49	0,98	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
19	31058300	31058958	His_deacetylse_1	740.0	+	31058300	31058958	83,88,95	2	28,21	0,637	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
19	31059169	31059210	His_deacetylse_1	603.0	+	31059169	31059210	83,88,95	1	41	0	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
19	31059220	31059362	His_deacetylse_1	689.0	+	31059220	31059362	83,88,95	2	35,20	0,122	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
19	31058243	31058314	His_deacetylse	865.0	+	31058243	31058314	83,88,95	1	71	0	PR01270	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01270&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01270
19	31058947	31058994	His_deacetylse	692.0	+	31058947	31058994	83,88,95	1	47	0	PR01270	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01270&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01270
19	31059372	31059404	His_deacetylse	369.0	+	31059372	31059404	83,88,95	1	32	0	PR01270	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01270&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01270
19	31054164	31060566	His_deacetylse_1	1234.6	+	31054164	31060566	83,88,95	12	30,112,117,74,138,141,92,108,140,108,127,139	0,2282,2480,3866,4026,4773,4999,5178,5367,5601,6033,6263	PIRSF037913	None
