13	15792379	15802876	Rabaptin_Rab5-bd_dom	209.1	+	15792379	15802876	83,88,95	5	23,65,164,78,190	0,122,4110,4372,10307	PF09311	http://pfam.sanger.ac.uk/family?acc=PF09311
13	15823211	15823306	TPR_1	30.9	+	15823211	15823306	83,88,95	1	95	0	PF00515	http://pfam.sanger.ac.uk/family?acc=PF00515
13	15826220	15826315	TPR_1	27.6	+	15826220	15826315	83,88,95	1	95	0	PF00515	http://pfam.sanger.ac.uk/family?acc=PF00515
13	15826346	15828386	TPR_1	23.8	+	15826346	15828386	83,88,95	2	20,68	0,1972	PF00515	http://pfam.sanger.ac.uk/family?acc=PF00515
13	15792561	15796536	Kinesin_light	834.0	+	15792561	15796536	83,88,95	2	5,47	0,3928	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
13	15802730	15802789	Kinesin_light	966.0	+	15802730	15802789	83,88,95	1	59	0	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
13	15802796	15802852	Kinesin_light	936.0	+	15802796	15802852	83,88,95	1	56	0	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
13	15803580	15823252	Kinesin_light	884.0	+	15803580	15823252	83,88,95	2	8,44	0,19628	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
13	15826214	15826276	Kinesin_light	1018.0	+	15826214	15826276	83,88,95	1	62	0	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
13	15826319	15828335	Kinesin_light	1023.0	+	15826319	15828335	83,88,95	2	47,17	0,1999	PR00381	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00381&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00381
13	15835128	15836768	TPR_repeat	10.3	+	15835128	15836768	83,88,95	2	98,2	0,1638	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
13	15826346	15828398	TPR_repeat	26.5	+	15826346	15828398	83,88,95	2	20,80	0,1972	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
13	15826220	15826321	TPR_repeat	25.8	+	15826220	15826321	83,88,95	1	101	0	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
13	15823211	15826195	TPR_repeat	34.4	+	15823211	15826195	83,88,95	2	98,2	0,2982	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
13	15802877	15803567	TPR_repeat	20.4	+	15802877	15803567	83,88,95	2	34,66	0,624	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
13	15802877	15803567	TPR_repeat	8.318999999999999	+	15802877	15803567	83,88,95	2	34,66	0,624	PS50005	http://www.expasy.ch/prosite/PS50005
13	15823211	15826195	TPR_repeat	8.26	+	15823211	15826195	83,88,95	2	98,2	0,2982	PS50005	http://www.expasy.ch/prosite/PS50005
13	15802751	15828398	TPR-contain_dom	20.276	+	15802751	15828398	83,88,95	5	160,87,101,173,80	0,750,20457,23442,25567	PS50293	http://www.expasy.ch/prosite/PS50293
