5	33525303	33533120	DUF1900	192.1	-	33525303	33533120	83,88,95	4	7728,-145,-57,7707	0,3804,430,110	PF08954	http://pfam.sanger.ac.uk/family?acc=PF08954
5	33534462	33534743	DUF1899	120.3	-	33534462	33534743	83,88,95	2	93,276	0,5	PF08953	http://pfam.sanger.ac.uk/family?acc=PF08953
5	33533815	33534437	WD40_repeat	37.2	-	33533815	33534437	83,88,95	2	530,617	0,5	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
5	33533572	33533778	WD40_repeat	28.8	-	33533572	33533778	83,88,95	2	119,178	0,28	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
5	33533443	33533532	WD40_repeat	22.2	-	33533443	33533532	83,88,95	1	89	0	PF00400	http://pfam.sanger.ac.uk/family?acc=PF00400
5	33533572	33533784	WD40_repeat	34.2	-	33533572	33533784	83,88,95	2	119,184	0,28	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
5	33533812	33534467	WD40_repeat	39.9	-	33533812	33534467	83,88,95	2	533,647	0,8	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
5	33533545	33533763	WD40_repeat	12.547	-	33533545	33533763	83,88,95	2	146,163	0,55	PS50082	http://www.expasy.ch/prosite/PS50082
5	33533343	33534437	WD40_repeat_dom	22.913	-	33533343	33534437	83,88,95	4	1002,-129,-181,1092	0,477,257,2	PS50294	http://www.expasy.ch/prosite/PS50294
5	33533785	33534437	WD40_repeat	11.478	-	33533785	33534437	83,88,95	2	560,617	0,35	PS50082	http://www.expasy.ch/prosite/PS50082
5	33533443	33533565	WD40_repeat	34.2	-	33533443	33533565	83,88,95	1	122	0	SM00320	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00320
