20	32100543	32149508	ANF_lig-bd_rcpt	308.9	-	32100543	32149508	83,88,95	5	48494,-249,-235,-246,48950	0,36538,9853,4019,15	PF01094	http://pfam.sanger.ac.uk/family?acc=PF01094
20	32091694	32092404	GPCR_3_C	239.0	-	32091694	32092404	83,88,95	1	710	0	PF00003	http://pfam.sanger.ac.uk/family?acc=PF00003
20	32094997	32100428	GPCR_3_9-Cys_dom	59.6	-	32094997	32100428	83,88,95	2	5390,5321	0,110	PF07562	http://pfam.sanger.ac.uk/family?acc=PF07562
20	32087649	32087732	Metabotropic_Glu_rcpt_Homer-bd	25.8	-	32087649	32087732	83,88,95	1	83	0	PF10606	http://pfam.sanger.ac.uk/family?acc=PF10606
20	32149575	32149613	GPCR_3	469.0	-	32149575	32149613	83,88,95	1	38	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32149467	32149514	GPCR_3	446.0	-	32149467	32149514	83,88,95	1	47	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32149410	32149469	GPCR_3	622.0	-	32149410	32149469	83,88,95	1	59	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32149182	32149262	GPCR_3	757.0	-	32149182	32149262	83,88,95	1	80	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32149104	32149163	GPCR_3	576.0	-	32149104	32149163	83,88,95	1	59	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32149056	32149106	GPCR_3	584.0	-	32149056	32149106	83,88,95	1	50	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32137050	32149058	GPCR_3	561.0	-	32137050	32149058	83,88,95	2	11987,11977	0,31	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32092282	32092350	GPCR_3	713.0	-	32092282	32092350	83,88,95	1	68	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32092150	32092215	GPCR_3	581.0	-	32092150	32092215	83,88,95	1	65	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32092021	32092092	GPCR_3	395.0	-	32092021	32092092	83,88,95	1	71	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32091862	32091933	GPCR_3	757.0	-	32091862	32091933	83,88,95	1	71	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32091799	32091864	GPCR_3	933.0	-	32091799	32091864	83,88,95	1	65	0	PR00248	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00248&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00248
20	32136990	32137025	GPCR_3_mtglu_rcpt	320.0	-	32136990	32137025	83,88,95	1	35	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
20	32136936	32136974	GPCR_3_mtglu_rcpt	274.0	-	32136936	32136974	83,88,95	1	38	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
20	32110294	32110341	GPCR_3_mtglu_rcpt	296.0	-	32110294	32110341	83,88,95	1	47	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
20	32104501	32104536	GPCR_3_mtglu_rcpt	359.0	-	32104501	32104536	83,88,95	1	35	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
20	32092183	32092227	GPCR_3_mtglu_rcpt	410.0	-	32092183	32092227	83,88,95	1	44	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
20	32091724	32091768	GPCR_3_mtglu_rcpt	400.0	-	32091724	32091768	83,88,95	1	44	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
20	32149617	32149661	GPCR_3_mtglu_rcpt_1	190.0	-	32149617	32149661	83,88,95	1	44	0	PR01051	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01051&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01051
20	32149287	32149352	GPCR_3_mtglu_rcpt_1	425.0	-	32149287	32149352	83,88,95	1	65	0	PR01051	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01051&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01051
