8	10510653	10530240	K_chnl_volt-dep_Kv4_C	112.2	+	10510653	10530240	83,88,95	3	26,92,170	0,19043,19417	PF11879	http://pfam.sanger.ac.uk/family?acc=PF11879
8	10412823	10413089	T1-type_BTB	103.0	+	10412823	10413089	83,88,95	1	266	0	PF02214	http://pfam.sanger.ac.uk/family?acc=PF02214
8	10413390	10506563	Ion_trans_dom	100.7	+	10413390	10506563	83,88,95	2	421,99	0,93074	PF00520	http://pfam.sanger.ac.uk/family?acc=PF00520
8	10412703	10412789	Shal-type	51.1	+	10412703	10412789	83,88,95	1	86	0	PF11601	http://pfam.sanger.ac.uk/family?acc=PF11601
8	10413690	10506569	2pore_dom_K_chnl_dom	48.0	+	10413690	10506569	83,88,95	2	121,105	0,92774	PF07885	http://pfam.sanger.ac.uk/family?acc=PF07885
8	10412937	10412996	K_chnl	682.0	+	10412937	10412996	83,88,95	1	59	0	PR00169	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00169&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00169
8	10413228	10413314	K_chnl	478.0	+	10413228	10413314	83,88,95	1	86	0	PR00169	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00169&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00169
8	10413387	10413458	K_chnl	620.0	+	10413387	10413458	83,88,95	1	71	0	PR00169	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00169&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00169
8	10413465	10413527	K_chnl	642.0	+	10413465	10413527	83,88,95	1	62	0	PR00169	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00169&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00169
8	10413576	10413656	K_chnl	882.0	+	10413576	10413656	83,88,95	1	80	0	PR00169	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00169&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00169
8	10413663	10413734	K_chnl	649.0	+	10413663	10413734	83,88,95	1	71	0	PR00169	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00169&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00169
8	10413756	10506476	K_chnl	967.0	+	10413756	10506476	83,88,95	2	55,12	0,92708	PR00169	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00169&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00169
8	10506495	10506575	K_chnl	1010.0	+	10506495	10506575	83,88,95	1	80	0	PR00169	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00169&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00169
8	10412895	10412936	K_chnl_volt-dep_Kv4	596.0	+	10412895	10412936	83,88,95	1	41	0	PR01497	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01497&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01497
8	10413120	10413170	K_chnl_volt-dep_Kv4	331.0	+	10413120	10413170	83,88,95	1	50	0	PR01497	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01497&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01497
8	10413177	10413221	K_chnl_volt-dep_Kv4	372.0	+	10413177	10413221	83,88,95	1	44	0	PR01497	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01497&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01497
8	10413234	10413278	K_chnl_volt-dep_Kv4	751.0	+	10413234	10413278	83,88,95	1	44	0	PR01497	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01497&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01497
8	10413354	10413404	K_chnl_volt-dep_Kv4	893.0	+	10413354	10413404	83,88,95	1	50	0	PR01497	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01497&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01497
8	10413648	10413707	K_chnl_volt-dep_Kv4	945.0	+	10413648	10413707	83,88,95	1	59	0	PR01497	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01497&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01497
8	10506591	10506626	K_chnl_volt-dep_Kv4	501.0	+	10506591	10506626	83,88,95	1	35	0	PR01497	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01497&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01497
8	10510602	10510652	K_chnl_volt-dep_Kv4	604.0	+	10510602	10510652	83,88,95	1	50	0	PR01497	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01497&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01497
8	10529744	10529788	K_chnl_volt-dep_Kv4	815.0	+	10529744	10529788	83,88,95	1	44	0	PR01497	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01497&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01497
8	10412937	10412969	K_chnl_volt-dep_Kv	441.0	+	10412937	10412969	83,88,95	1	32	0	PR01491	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01491&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01491
