20	15090989	15095596	Flavin_mOase-like	822.5	-	15090989	15095596	83,88,95	8	4479,-188,-165,-142,-199,-355,-72,4301	0,4328,4034,3210,1275,956,488,306	PF00743	http://pfam.sanger.ac.uk/family?acc=PF00743
20	15091921	15095590	Pyr_nucl-diS_OxRdtase_FAD/NAD	31.7	-	15091921	15095590	83,88,95	6	3547,-188,-165,-142,-199,3645	0,3396,3102,2278,343,24	PF07992	http://pfam.sanger.ac.uk/family?acc=PF07992
20	15095543	15095593	Flavin_mOase	592.0	-	15095543	15095593	83,88,95	1	50	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15095297	15095521	Flavin_mOase	862.0	-	15095297	15095521	83,88,95	2	171,204	0,20	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15095231	15095287	Flavin_mOase	724.0	-	15095231	15095287	83,88,95	1	56	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15095168	15095215	Flavin_mOase	561.0	-	15095168	15095215	83,88,95	1	47	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15094997	15095140	Flavin_mOase	246.0	-	15094997	15095140	83,88,95	2	132,117	0,26	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15094874	15094924	Flavin_mOase	735.0	-	15094874	15094924	83,88,95	1	50	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15094129	15094173	Flavin_mOase	546.0	-	15094129	15094173	83,88,95	1	44	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15092253	15094092	Flavin_mOase	509.0	-	15092253	15094092	83,88,95	2	1804,1828	0,11	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15091834	15091887	Flavin_mOase	390.0	-	15091834	15091887	83,88,95	1	53	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15091747	15091830	Flavin_mOase	956.0	-	15091747	15091830	83,88,95	1	83	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15091633	15091686	Flavin_mOase	598.0	-	15091633	15091686	83,88,95	1	53	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15091594	15091635	Flavin_mOase	497.0	-	15091594	15091635	83,88,95	1	41	0	PR00370	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00370&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00370
20	15095153	15095191	Flavin_mOase_5	500.0	-	15095153	15095191	83,88,95	1	38	0	PR01125	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01125&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01125
20	15092244	15094068	Flavin_mOase_5	400.0	-	15092244	15094068	83,88,95	2	1813,1804	0,20	PR01125	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01125&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01125
20	15091918	15092072	Flavin_mOase_5	452.0	-	15091918	15092072	83,88,95	2	147,127	0,27	PR01125	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01125&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01125
