#>P	ENSCING00000007650	ENSCINT00000015672	ENSCINP00000015672	4	2423205	2436207	-1	thrombospondin A (LOC619278), mRNA [Source:RefSeq mRNA;Acc:NM_001033843]
#>E	ENSCINE00000245220,ENSCINE00000104150,ENSCINE00000104149,ENSCINE00000104148,ENSCINE00000104147,ENSCINE00000104146,ENSCINE00000104145,ENSCINE00000104144,ENSCINE00000104143,ENSCINE00000104142,ENSCINE00000104141,ENSCINE00000104140,ENSCINE00000104139,ENSCINE00000104138,ENSCINE00000104137,ENSCINE00000104136,ENSCINE00000104135,ENSCINE00000104134,ENSCINE00000104133,ENSCINE00000104132,ENSCINE00000104131,ENSCINE00000104130	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	2423202-2423340,2423531-2423628,2424851-2424925,2425374-2425570,2425835-2426062,2426237-2426332,2426410-2426548,2426631-2426749,2426818-2426977,2427453-2427575,2427658-2427771,2428511-2428665,2428740-2428842,2430055-2430182,2430266-2430439,2430605-2430781,2430862-2431020,2434149-2434242,2434300-2434592,2434664-2434739,2435485-2436083,2436156-2436207
4	2423202	2425916	-1	Thrombospondin_C	304.5	2423202-2423340,2423531-2423628,2424851-2424925,2425374-2425570,2425835-2425916	PF05735	http://pfam.xfam.org/family/PF05735
4	2430866	2431003	-1	Thrombospondin_1_rpt	43.1	2430866-2431003	PF00090	http://pfam.xfam.org/family/PF00090
4	2430609	2430758	-1	Thrombospondin_1_rpt	46.0	2430609-2430758	PF00090	http://pfam.xfam.org/family/PF00090
4	2430273	2430422	-1	Thrombospondin_1_rpt	44.7	2430273-2430422	PF00090	http://pfam.xfam.org/family/PF00090
4	2427489	2427527	-1	Thrombospondin_3-like_rpt	10.8	2427489-2427527	PF02412	http://pfam.xfam.org/family/PF02412
4	2426966	2427485	-1	Thrombospondin_3-like_rpt	11.2	2426966-2426977,2427453-2427485	PF02412	http://pfam.xfam.org/family/PF02412
4	2426906	2426941	-1	Thrombospondin_3-like_rpt	8.3	2426906-2426941	PF02412	http://pfam.xfam.org/family/PF02412
4	2426837	2426875	-1	Thrombospondin_3-like_rpt	11.7	2426837-2426875	PF02412	http://pfam.xfam.org/family/PF02412
4	2426724	2426833	-1	Thrombospondin_3-like_rpt	8.1	2426724-2426749,2426818-2426833	PF02412	http://pfam.xfam.org/family/PF02412
4	2426652	2426696	-1	Thrombospondin_3-like_rpt	14.0	2426652-2426696	PF02412	http://pfam.xfam.org/family/PF02412
4	2426510	2426548	-1	Thrombospondin_3-like_rpt	6.3	2426510-2426548	PF02412	http://pfam.xfam.org/family/PF02412
4	2426456	2426500	-1	Thrombospondin_3-like_rpt	18.8	2426456-2426500	PF02412	http://pfam.xfam.org/family/PF02412
4	2426319	2426431	-1	Thrombospondin_3-like_rpt	7.4	2426319-2426332,2426410-2426431	PF02412	http://pfam.xfam.org/family/PF02412
4	2426274	2426315	-1	Thrombospondin_3-like_rpt	3.7	2426274-2426315	PF02412	http://pfam.xfam.org/family/PF02412
4	2426037	2426246	-1	Thrombospondin_3-like_rpt	13.1	2426037-2426062,2426237-2426246	PF02412	http://pfam.xfam.org/family/PF02412
4	2425989	2426033	-1	Thrombospondin_3-like_rpt	8.9	2425989-2426033	PF02412	http://pfam.xfam.org/family/PF02412
4	2434153	2434374	-1	VWF_C	32.1	2434153-2434242,2434300-2434374	PF00093	http://pfam.xfam.org/family/PF00093
