#>P	ENSCING00000008607	ENSCINT00000017560	ENSCINP00000017560	3	6603579	6616248	-1	trhombospondin Bi (thbsbi), mRNA [Source:RefSeq mRNA;Acc:NM_001128117]
#>E	ENSCINE00000118088,ENSCINE00000118085,ENSCINE00000118081,ENSCINE00000118078,ENSCINE00000231376,ENSCINE00000240573,ENSCINE00000212117,ENSCINE00000207551,ENSCINE00000255367,ENSCINE00000212339,ENSCINE00000222334,ENSCINE00000232517,ENSCINE00000256549,ENSCINE00000234374,ENSCINE00000118058,ENSCINE00000215009,ENSCINE00000118054,ENSCINE00000118053,ENSCINE00000118052,ENSCINE00000118051,ENSCINE00000228000	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	6603576-6603628,6604078-6604217,6604993-6605165,6605533-6605729,6606057-6606249,6606572-6606733,6607011-6607133,6607524-6607642,6608108-6608231,6608552-6608695,6610205-6610377,6610602-6610689,6610974-6611048,6611334-6611500,6611566-6611694,6611776-6611874,6612304-6612466,6612824-6612977,6613308-6613419,6615275-6615487,6616167-6616248
3	6603618	6606138	-1	Thrombospondin_C	330.0	6603618-6603628,6604078-6604217,6604993-6605165,6605533-6605729,6606057-6606138	PF05735	http://pfam.xfam.org/family/PF05735
3	6610241	6610270	-1	Thrombospondin_3-like_rpt	4.6	6610241-6610270	PF02412	http://pfam.xfam.org/family/PF02412
3	6608624	6608662	-1	Thrombospondin_3-like_rpt	14.3	6608624-6608662	PF02412	http://pfam.xfam.org/family/PF02412
3	6608579	6608623	-1	Thrombospondin_3-like_rpt	14.1	6608579-6608623	PF02412	http://pfam.xfam.org/family/PF02412
3	6608187	6608231	-1	Thrombospondin_3-like_rpt	9.8	6608187-6608231	PF02412	http://pfam.xfam.org/family/PF02412
3	6608127	6608162	-1	Thrombospondin_3-like_rpt	6.6	6608127-6608162	PF02412	http://pfam.xfam.org/family/PF02412
3	6607614	6608126	-1	Thrombospondin_3-like_rpt	15.4	6607614-6607642,6608108-6608126	PF02412	http://pfam.xfam.org/family/PF02412
3	6607551	6607592	-1	Thrombospondin_3-like_rpt	8.2	6607551-6607592	PF02412	http://pfam.xfam.org/family/PF02412
3	6607095	6607133	-1	Thrombospondin_3-like_rpt	9.3	6607095-6607133	PF02412	http://pfam.xfam.org/family/PF02412
3	6607041	6607085	-1	Thrombospondin_3-like_rpt	18.8	6607041-6607085	PF02412	http://pfam.xfam.org/family/PF02412
3	6606704	6607016	-1	Thrombospondin_3-like_rpt	14.5	6606704-6606733,6607011-6607016	PF02412	http://pfam.xfam.org/family/PF02412
3	6606674	6606703	-1	Thrombospondin_3-like_rpt	6.5	6606674-6606703	PF02412	http://pfam.xfam.org/family/PF02412
3	6606581	6606616	-1	Thrombospondin_3-like_rpt	15.6	6606581-6606616	PF02412	http://pfam.xfam.org/family/PF02412
3	6606211	6606577	-1	Thrombospondin_3-like_rpt	9.9	6606211-6606249,6606572-6606577	PF02412	http://pfam.xfam.org/family/PF02412
3	6611693	6612331	-1	Thbs/COMP_coiled-coil	51.9	6611693-6611694,6611776-6611874,6612304-6612331	PF11598	http://pfam.xfam.org/family/PF11598
3	6611382	6611480	-1	EGF-like_Ca-bd_dom	34.6	6611382-6611480	PF07645	http://pfam.xfam.org/family/PF07645
