#>P	ENSDARG00000060106	ENSDART00000084378	ENSDARP00000078813	21	8386811	8420474	-1	crumbs family member 2a [Source:ZFIN;Acc:ZDB-GENE-060612-1]
#>E	ENSDARE00000711550,ENSDARE00000613794,ENSDARE00000613801,ENSDARE00000613805,ENSDARE00000613807,ENSDARE00000613814,ENSDARE00000613820,ENSDARE00000613823,ENSDARE00000613827,ENSDARE00000613830,ENSDARE00000613833,ENSDARE00000613837,ENSDARE00000909173	1,1,1,1,1,1,1,1,1,1,1,1,1	8386808-8387029,8387104-8387230,8387971-8388087,8388723-8389593,8389707-8389872,8389962-8390539,8390807-8391775,8391850-8391963,8392103-8392273,8392349-8392488,8392643-8392838,8393652-8394311,8420405-8420474
21	8393995	8394093	-1	EGF-like_Ca-bd_dom	64.5	8393995-8394093	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
21	8390985	8391389	-1	Laminin_G	121.3	8390985-8391389	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
21	8389148	8389504	-1	Laminin_G	121.3	8389148-8389504	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
21	8390070	8390438	-1	Laminin_G	121.3	8390070-8390438	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
21	8392834	8393736	-1	EGF-like_dom	355	8392834-8392838,8393652-8393736	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8391672	8391746	-1	EGF-like_dom	355	8391672-8391746	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8387970	8388065	-1	EGF-like_dom	355	8387970-8388065	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8393761	8393850	-1	EGF-like_dom	355	8393761-8393850	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8392263	8392424	-1	EGF-like_dom	355	8392263-8392273,8392349-8392424	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8389786	8389967	-1	EGF-like_dom	355	8389786-8389872,8389962-8389967	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8391956	8392235	-1	EGF-like_dom	355	8391956-8391963,8392103-8392235	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8392720	8392809	-1	EGF-like_dom	355	8392720-8392809	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8387119	8387208	-1	EGF-like_dom	355	8387119-8387208	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8394202	8394282	-1	EGF-like_dom	355	8394202-8394282	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8388731	8388820	-1	EGF-like_dom	355	8388731-8388820	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8393872	8393958	-1	EGF-like_dom	355	8393872-8393958	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
21	8391774	8391934	-1	EGF-like_dom	355	8391774-8391775,8391850-8391934	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
