#>P	ENSDARG00000045748	ENSDART00000136000	ENSDARP00000116540	4	10723045	10764371	1	stabilin 2 [Source:ZFIN;Acc:ZDB-GENE-041210-336]
#>E	ENSDARE00000947372,ENSDARE00000736301,ENSDARE00000736299,ENSDARE00000736297,ENSDARE00000736291,ENSDARE00000736288,ENSDARE00000736286,ENSDARE00000736283,ENSDARE00000736280,ENSDARE00000736274,ENSDARE00000736271,ENSDARE00000736270,ENSDARE00000736268,ENSDARE00000736263,ENSDARE00000736261,ENSDARE00000736258,ENSDARE00000736252,ENSDARE00000736249,ENSDARE00000843160,ENSDARE00000866874,ENSDARE00000816004,ENSDARE00000827267,ENSDARE00000819277,ENSDARE00000832215,ENSDARE00000794261,ENSDARE00000836730,ENSDARE00000867880,ENSDARE00000831335,ENSDARE00000809427,ENSDARE00000805886,ENSDARE00000779117,ENSDARE00000818644,ENSDARE00000874235,ENSDARE00000854562,ENSDARE00000875293,ENSDARE00000780508,ENSDARE00000955634,ENSDARE00000850538,ENSDARE00000849436,ENSDARE00000800470,ENSDARE00000818560,ENSDARE00000791602,ENSDARE00000793399,ENSDARE00000819831,ENSDARE00000842274,ENSDARE00000910129,ENSDARE00000868103,ENSDARE00001130624,ENSDARE00000874843,ENSDARE00000810053,ENSDARE00000776468,ENSDARE00000815718,ENSDARE00000823561,ENSDARE00000811075,ENSDARE00000511372,ENSDARE00000511371,ENSDARE00000511369,ENSDARE00001016889,ENSDARE00001036127,ENSDARE00000511366,ENSDARE00000511365,ENSDARE00000511364,ENSDARE00000511363,ENSDARE00000511362,ENSDARE00000511361,ENSDARE00000914167,ENSDARE00000956826,ENSDARE00001063047	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	10723045-10723125,10723732-10723859,10724428-10724534,10728568-10728653,10728752-10728818,10728913-10729008,10729096-10729218,10731081-10731277,10731354-10731484,10731575-10731708,10733409-10733491,10733937-10734080,10734265-10734408,10734498-10734560,10735818-10735934,10736031-10736084,10736166-10736246,10736668-10736820,10738079-10738138,10738310-10738405,10738515-10738601,10738682-10738793,10738865-10739042,10739521-10739614,10741083-10741241,10741320-10741415,10741493-10741588,10742399-10742446,10744140-10744276,10744373-10744487,10744600-10744677,10744832-10744921,10745562-10745669,10745789-10745920,10746163-10746291,10746377-10746439,10748210-10748305,10748402-10748597,10748675-10748770,10748885-10748930,10749900-10749979,10750061-10750186,10750358-10750434,10751246-10751317,10751462-10751581,10751648-10751695,10751772-10751849,10754156-10754305,10754380-10754520,10754616-10754675,10755101-10755277,10755426-10755515,10755623-10755769,10755929-10755988,10756502-10756625,10757197-10757346,10757994-10758098,10758193-10758300,10758799-10758992,10759069-10759210,10759673-10759806,10759895-10760060,10760132-10760238,10761123-10761239,10762838-10762987,10763061-10763309,10763412-10763510,10764315-10764374
4	10759687	10760050	1	Link_dom	98.9	10759687-10759806,10759895-10760050	PF00193	http://pfam.xfam.org/family/PF00193
4	10734531	10736760	1	FAS1_domain	387.5	10734531-10734560,10735818-10735934,10736031-10736084,10736166-10736246,10736668-10736760	PF02469	http://pfam.xfam.org/family/PF02469
4	10742429	10744843	1	FAS1_domain	387.5	10742429-10742446,10744140-10744276,10744373-10744487,10744600-10744677,10744832-10744843	PF02469	http://pfam.xfam.org/family/PF02469
4	10733432	10734372	1	FAS1_domain	387.5	10733432-10733491,10733937-10734080,10734265-10734372	PF02469	http://pfam.xfam.org/family/PF02469
4	10751784	10754475	1	FAS1_domain	387.5	10751784-10751849,10754156-10754305,10754380-10754475	PF02469	http://pfam.xfam.org/family/PF02469
4	10754646	10755721	1	FAS1_domain	387.5	10754646-10754675,10755101-10755277,10755426-10755515,10755623-10755721	PF02469	http://pfam.xfam.org/family/PF02469
4	10744892	10746249	1	FAS1_domain	387.5	10744892-10744921,10745562-10745669,10745789-10745920,10746163-10746249	PF02469	http://pfam.xfam.org/family/PF02469
4	10728585	10728766	1	EGF-like_dom	38.5	10728585-10728653,10728752-10728766	PF00008	http://pfam.xfam.org/family/PF00008
4	10738990	10739563	1	EGF_dom	193.9	10738990-10739042,10739521-10739563	PF12947	http://pfam.xfam.org/family/PF12947
4	10758810	10758917	1	EGF_dom	193.9	10758810-10758917	PF12947	http://pfam.xfam.org/family/PF12947
4	10758945	10759122	1	EGF_dom	193.9	10758945-10758992,10759069-10759122	PF12947	http://pfam.xfam.org/family/PF12947
4	10751309	10751563	1	EGF_dom	193.9	10751309-10751317,10751462-10751563	PF12947	http://pfam.xfam.org/family/PF12947
4	10750072	10750182	1	EGF_dom	193.9	10750072-10750182	PF12947	http://pfam.xfam.org/family/PF12947
4	10741191	10741367	1	EGF_dom	193.9	10741191-10741241,10741320-10741367	PF12947	http://pfam.xfam.org/family/PF12947
