#>P	ENSDARG00000045837	ENSDART00000135122	ENSDARP00000113150	4	5383537	5485631	1	si:dkey-14d8.20 [Source:ZFIN;Acc:ZDB-GENE-041210-146]
#>E	ENSDARE00001060983,ENSDARE00001047530,ENSDARE00001000230,ENSDARE00001021713,ENSDARE00001038548,ENSDARE00000989792,ENSDARE00001048702,ENSDARE00001008134,ENSDARE00001118775,ENSDARE00001121371,ENSDARE00001127008,ENSDARE00001106068,ENSDARE00000992271,ENSDARE00001116912,ENSDARE00001122583,ENSDARE00001110599,ENSDARE00001104896,ENSDARE00001119000,ENSDARE00001105685,ENSDARE00001126844,ENSDARE00001110341,ENSDARE00001116730,ENSDARE00001117107,ENSDARE00001131753	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5383537-5383570,5383644-5383997,5384541-5384849,5387174-5387428,5387852-5388157,5389568-5389870,5390344-5390652,5392565-5392870,5400103-5400441,5401533-5401841,5404007-5404315,5406638-5406943,5459390-5459749,5461950-5462258,5464506-5464811,5464895-5465197,5467199-5467495,5467662-5467967,5480775-5481095,5481192-5481500,5483439-5483747,5484110-5484217,5485154-5485506,5485629-5485634
4	5485177	5485506	1	C-type_lectin	46.8	5485177-5485506	PF00059	http://pfam.xfam.org/family/PF00059
4	5401550	5401840	1	SRCR	1624.7	5401550-5401840	PF00530	http://pfam.xfam.org/family/PF00530
4	5461964	5462257	1	SRCR	1624.7	5461964-5462257	PF00530	http://pfam.xfam.org/family/PF00530
4	5406655	5406939	1	SRCR	1624.7	5406655-5406939	PF00530	http://pfam.xfam.org/family/PF00530
4	5464520	5464807	1	SRCR	1624.7	5464520-5464807	PF00530	http://pfam.xfam.org/family/PF00530
4	5404033	5404311	1	SRCR	1624.7	5404033-5404311	PF00530	http://pfam.xfam.org/family/PF00530
4	5389585	5389866	1	SRCR	1624.7	5389585-5389866	PF00530	http://pfam.xfam.org/family/PF00530
4	5480813	5481094	1	SRCR	1624.7	5480813-5481094	PF00530	http://pfam.xfam.org/family/PF00530
4	5467210	5467491	1	SRCR	1624.7	5467210-5467491	PF00530	http://pfam.xfam.org/family/PF00530
4	5400147	5400440	1	SRCR	1624.7	5400147-5400440	PF00530	http://pfam.xfam.org/family/PF00530
4	5467676	5467966	1	SRCR	1624.7	5467676-5467966	PF00530	http://pfam.xfam.org/family/PF00530
4	5387200	5387424	1	SRCR	1624.7	5387200-5387424	PF00530	http://pfam.xfam.org/family/PF00530
4	5464906	5465193	1	SRCR	1624.7	5464906-5465193	PF00530	http://pfam.xfam.org/family/PF00530
4	5483456	5483746	1	SRCR	1624.7	5483456-5483746	PF00530	http://pfam.xfam.org/family/PF00530
4	5383691	5383996	1	SRCR	1624.7	5383691-5383996	PF00530	http://pfam.xfam.org/family/PF00530
4	5459464	5459745	1	SRCR	1624.7	5459464-5459745	PF00530	http://pfam.xfam.org/family/PF00530
4	5387866	5388156	1	SRCR	1624.7	5387866-5388156	PF00530	http://pfam.xfam.org/family/PF00530
4	5481206	5481496	1	SRCR	1624.7	5481206-5481496	PF00530	http://pfam.xfam.org/family/PF00530
4	5392582	5392866	1	SRCR	1624.7	5392582-5392866	PF00530	http://pfam.xfam.org/family/PF00530
4	5390361	5390648	1	SRCR	1624.7	5390361-5390648	PF00530	http://pfam.xfam.org/family/PF00530
4	5384558	5384848	1	SRCR	1624.7	5384558-5384848	PF00530	http://pfam.xfam.org/family/PF00530
