#>P	ENSDARG00000056781	ENSDART00000159818	ENSDARP00000134651	7	26055316	26094146	1	zonadhesin (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:12857]
#>E	ENSDARE00000850681,ENSDARE00000714943,ENSDARE00000829111,ENSDARE00000877555,ENSDARE00001176861,ENSDARE00001153691,ENSDARE00001182214,ENSDARE00001220403,ENSDARE00000914105,ENSDARE00001185910,ENSDARE00001167681,ENSDARE00001198291,ENSDARE00001181142,ENSDARE00000934013,ENSDARE00001213410,ENSDARE00001170963,ENSDARE00000788087,ENSDARE00000934043,ENSDARE00000268156,ENSDARE00000840301,ENSDARE00000850792,ENSDARE00000974177,ENSDARE00000337416,ENSDARE00000314406,ENSDARE00000839264,ENSDARE00000915598,ENSDARE00000571600,ENSDARE00000294612,ENSDARE00000296078,ENSDARE00001173831,ENSDARE00000779057,ENSDARE00000826948,ENSDARE00000857762,ENSDARE00000849250,ENSDARE00000805848,ENSDARE00000571594,ENSDARE00001190683,ENSDARE00001197379,ENSDARE00000777632,ENSDARE00000824471,ENSDARE00000571584,ENSDARE00000571580,ENSDARE00001199189,ENSDARE00001209277,ENSDARE00001158681,ENSDARE00001189376,ENSDARE00001207224,ENSDARE00001195299,ENSDARE00000802828,ENSDARE00001224696,ENSDARE00001152379,ENSDARE00001213100,ENSDARE00001180726	1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0	26055316-26055448,26055602-26055867,26056101-26056185,26057170-26057844,26058236-26058285,26058447-26058517,26058914-26058951,26059036-26059139,26059761-26059811,26059946-26060004,26061344-26061415,26062237-26062250,26065342-26065374,26066513-26066656,26069373-26069415,26069481-26069566,26070135-26070331,26070435-26070573,26070665-26070781,26070996-26071120,26071430-26071575,26071749-26071892,26071996-26072103,26072262-26072431,26072825-26073027,26074933-26075074,26075206-26075453,26075548-26075725,26075807-26075915,26076004-26076104,26077318-26077494,26077788-26077990,26078157-26078301,26079158-26079399,26080380-26080544,26080802-26080929,26082327-26082335,26082398-26082702,26082957-26083165,26085171-26085315,26085766-26086013,26086502-26086631,26086719-26086920,26087826-26087987,26088130-26088186,26090430-26090441,26090910-26091019,26091039-26091112,26091204-26091339,26093344-26093487,26093581-26093665,26093769-26093821,26094121-26094149
7	26093352	26093444	1	EGF-like_dom	29.9	26093352-26093444	PF00008	http://pfam.xfam.org/family/PF00008
7	26055316	26056184	1	MAM_dom	124.2	26055316-26055448,26055602-26055867,26056101-26056184	PF00629	http://pfam.xfam.org/family/PF00629
7	26072833	26072994	1	TIL_dom	141.3	26072833-26072994	PF01826	http://pfam.xfam.org/family/PF01826
7	26070143	26070301	1	TIL_dom	141.3	26070143-26070301	PF01826	http://pfam.xfam.org/family/PF01826
7	26077796	26077957	1	TIL_dom	141.3	26077796-26077957	PF01826	http://pfam.xfam.org/family/PF01826
7	26082965	26083132	1	TIL_dom	141.3	26082965-26083132	PF01826	http://pfam.xfam.org/family/PF01826
7	26076065	26077789	1	Unchr_dom_Cys-rich	240.9	26076065-26076104,26077318-26077494,26077788-26077789	PF08742	http://pfam.xfam.org/family/PF08742
7	26087905	26090442	1	Unchr_dom_Cys-rich	240.9	26087905-26087987,26088130-26088186,26090430-26090442	PF08742	http://pfam.xfam.org/family/PF08742
7	26072057	26072826	1	Unchr_dom_Cys-rich	240.9	26072057-26072103,26072262-26072431,26072825-26072826	PF08742	http://pfam.xfam.org/family/PF08742
7	26082498	26082958	1	Unchr_dom_Cys-rich	240.9	26082498-26082702,26082957-26082958	PF08742	http://pfam.xfam.org/family/PF08742
7	26079169	26080864	1	VWF_type-D	463.7	26079169-26079399,26080380-26080544,26080802-26080864	PF00094	http://pfam.xfam.org/family/PF00094
7	26070676	26071830	1	VWF_type-D	463.7	26070676-26070781,26070996-26071120,26071430-26071575,26071749-26071830	PF00094	http://pfam.xfam.org/family/PF00094
7	26075217	26075853	1	VWF_type-D	463.7	26075217-26075453,26075548-26075725,26075807-26075853	PF00094	http://pfam.xfam.org/family/PF00094
7	26085777	26086816	1	VWF_type-D	463.7	26085777-26086013,26086502-26086631,26086719-26086816	PF00094	http://pfam.xfam.org/family/PF00094
7	26070302	26070566	1	TILa_dom	167.8	26070302-26070331,26070435-26070566	PF12714	http://pfam.xfam.org/family/PF12714
7	26091083	26091332	1	TILa_dom	167.8	26091083-26091112,26091204-26091332	PF12714	http://pfam.xfam.org/family/PF12714
7	26072995	26075067	1	TILa_dom	167.8	26072995-26073027,26074933-26075067	PF12714	http://pfam.xfam.org/family/PF12714
7	26083133	26085308	1	TILa_dom	167.8	26083133-26083165,26085171-26085308	PF12714	http://pfam.xfam.org/family/PF12714
7	26077958	26078291	1	TILa_dom	167.8	26077958-26077990,26078157-26078291	PF12714	http://pfam.xfam.org/family/PF12714
