#>P	ENSDARG00000058868	ENSDART00000158897	ENSDARP00000139275	10	1822160	1864429	1	adenomatous polyposis coli [Source:ZFIN;Acc:ZDB-GENE-031112-7]
#>E	ENSDARE00000920485,ENSDARE00000840175,ENSDARE00000828783,ENSDARE00000783636,ENSDARE00000802861,ENSDARE00001050987,ENSDARE00001150925,ENSDARE00000795245,ENSDARE00000874760,ENSDARE00000774778,ENSDARE00000823699,ENSDARE00000846808,ENSDARE00000845489,ENSDARE00000782558,ENSDARE00000870310,ENSDARE00001060545	1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1	1822160-1822294,1839079-1839163,1841494-1841668,1843845-1843953,1844500-1844613,1845905-1845988,1847868-1847894,1849753-1849839,1851667-1851765,1852709-1853087,1854141-1854236,1855497-1855636,1855725-1855802,1856227-1856343,1856428-1856642,1858108-1864432
10	1863944	1864408	1	EB1-bd	144.5	1863944-1864408	PF05937	http://pfam.xfam.org/family/PF05937
10	1862681	1863718	1	APC_basic_dom	254.8	1862681-1863718	PF05956	http://pfam.xfam.org/family/PF05956
10	1860989	1861063	1	APC_Cys-rich_rpt	219.6	1860989-1861063	PF05923	http://pfam.xfam.org/family/PF05923
10	1861865	1861939	1	APC_Cys-rich_rpt	219.6	1861865-1861939	PF05923	http://pfam.xfam.org/family/PF05923
10	1860536	1860613	1	APC_Cys-rich_rpt	219.6	1860536-1860613	PF05923	http://pfam.xfam.org/family/PF05923
10	1861583	1861660	1	APC_Cys-rich_rpt	219.6	1861583-1861660	PF05923	http://pfam.xfam.org/family/PF05923
10	1859855	1859932	1	APC_Cys-rich_rpt	219.6	1859855-1859932	PF05923	http://pfam.xfam.org/family/PF05923
10	1860194	1860268	1	APC_Cys-rich_rpt	219.6	1860194-1860268	PF05923	http://pfam.xfam.org/family/PF05923
10	1862030	1862101	1	APC_Cys-rich_rpt	219.6	1862030-1862101	PF05923	http://pfam.xfam.org/family/PF05923
10	1856629	1858216	1	Armadillo	97.4	1856629-1856642,1858108-1858216	PF00514	http://pfam.xfam.org/family/PF00514
10	1859504	1859548	1	APC_15aa_rpt	65.4	1859504-1859548	PF05972	http://pfam.xfam.org/family/PF05972
10	1859600	1859641	1	APC_15aa_rpt	65.4	1859600-1859641	PF05972	http://pfam.xfam.org/family/PF05972
10	1859156	1859203	1	APC_15aa_rpt	65.4	1859156-1859203	PF05972	http://pfam.xfam.org/family/PF05972
10	1861220	1861273	1	SAMP	92.9	1861220-1861273	PF05924	http://pfam.xfam.org/family/PF05924
10	1860791	1860853	1	SAMP	92.9	1860791-1860853	PF05924	http://pfam.xfam.org/family/PF05924
10	1862108	1862161	1	SAMP	92.9	1862108-1862161	PF05924	http://pfam.xfam.org/family/PF05924
