#>P	ENSDARG00000030289	ENSDART00000137172	ENSDARP00000121170	1	50463898	50513655	-1	jagged 1a [Source:ZFIN;Acc:ZDB-GENE-011128-2]
#>E	ENSDARE00000999863,ENSDARE00000480626,ENSDARE00000480627,ENSDARE00001010213,ENSDARE00000480632,ENSDARE00000480634,ENSDARE00000480635,ENSDARE00000480636,ENSDARE00000984599,ENSDARE00000703190,ENSDARE00000703200,ENSDARE00000703208,ENSDARE00000703216,ENSDARE00000703224,ENSDARE00000703236,ENSDARE00000703243,ENSDARE00000703251,ENSDARE00000703261,ENSDARE00000703267,ENSDARE00000703270,ENSDARE00000904700,ENSDARE00000703285,ENSDARE00000703289,ENSDARE00000703292,ENSDARE00000776226,ENSDARE00000816664	0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0	50463895-50464421,50466179-50466332,50466685-50466816,50467246-50467503,50469249-50469358,50469692-50469805,50469894-50469979,50470999-50471026,50471395-50471511,50474880-50474993,50475580-50475693,50475773-50475886,50477532-50477702,50481270-50481420,50481783-50481956,50483835-50483881,50486779-50486892,50490707-50490820,50491115-50491228,50494432-50494551,50496477-50496607,50496918-50496978,50497709-50497966,50500465-50500522,50512305-50512613,50513584-50513655
1	50497716	50497904	-1	DSL	89.1	50497716-50497904	PF01414	http://pfam.xfam.org/family/PF01414
1	50486789	50486893	-1	EGF-like_Ca-bd_dom	41.5	50486789-50486893	PF07645	http://pfam.xfam.org/family/PF07645
1	50512374	50512601	-1	Notch_ligand_N	98.3	50512374-50512601	PF07657	http://pfam.xfam.org/family/PF07657
1	50481903	50483870	-1	EGF-like_dom	268.7	50481903-50481956,50483835-50483870	PF00008	http://pfam.xfam.org/family/PF00008
1	50494445	50494540	-1	EGF-like_dom	268.7	50494445-50494540	PF00008	http://pfam.xfam.org/family/PF00008
1	50469702	50469794	-1	EGF-like_dom	268.7	50469702-50469794	PF00008	http://pfam.xfam.org/family/PF00008
1	50471405	50471497	-1	EGF-like_dom	268.7	50471405-50471497	PF00008	http://pfam.xfam.org/family/PF00008
1	50481792	50481881	-1	EGF-like_dom	268.7	50481792-50481881	PF00008	http://pfam.xfam.org/family/PF00008
1	50475783	50475875	-1	EGF-like_dom	268.7	50475783-50475875	PF00008	http://pfam.xfam.org/family/PF00008
1	50481313	50481405	-1	EGF-like_dom	268.7	50481313-50481405	PF00008	http://pfam.xfam.org/family/PF00008
1	50490717	50490809	-1	EGF-like_dom	268.7	50490717-50490809	PF00008	http://pfam.xfam.org/family/PF00008
1	50475590	50475682	-1	EGF-like_dom	268.7	50475590-50475682	PF00008	http://pfam.xfam.org/family/PF00008
1	50469907	50471015	-1	EGF-like_dom	268.7	50469907-50469979,50470999-50471015	PF00008	http://pfam.xfam.org/family/PF00008
1	50491128	50491217	-1	EGF-like_dom	268.7	50491128-50491217	PF00008	http://pfam.xfam.org/family/PF00008
1	50474893	50474982	-1	EGF-like_dom	268.7	50474893-50474982	PF00008	http://pfam.xfam.org/family/PF00008
