#>P	ENSDARG00000077860	ENSDART00000147947	ENSDARP00000121740	21	26371851	26446357	-1	ankyrin repeat and KH domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-090421-1]
#>E	ENSDARE00000866415,ENSDARE00000854326,ENSDARE00000866939,ENSDARE00000839503,ENSDARE00000798533,ENSDARE00000861362,ENSDARE00000801557,ENSDARE00000862002,ENSDARE00000852044,ENSDARE00000811876,ENSDARE00000796104,ENSDARE00000807340,ENSDARE00000823750,ENSDARE00000816576,ENSDARE00000860702,ENSDARE00000823407,ENSDARE00000791118,ENSDARE00000856185,ENSDARE00000778585,ENSDARE00000801740,ENSDARE00000791247,ENSDARE00000777014,ENSDARE00001048243,ENSDARE00000992778,ENSDARE00000777048,ENSDARE00000878889,ENSDARE00000806053,ENSDARE00000785223,ENSDARE00000843570,ENSDARE00000808358,ENSDARE00001023679,ENSDARE00000841082,ENSDARE00000842722,ENSDARE00001046730	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0	26371848-26371907,26371992-26372156,26373538-26373716,26374361-26374615,26374725-26374889,26378401-26380046,26380142-26380291,26380573-26380725,26380990-26381494,26381903-26382068,26382175-26382291,26382389-26382484,26382609-26382771,26382858-26383033,26383214-26383427,26383520-26383662,26385551-26385696,26385787-26385898,26386025-26386158,26388793-26389641,26390169-26390271,26390428-26390571,26390677-26390806,26392530-26392615,26392693-26392802,26392890-26393081,26396086-26396323,26396420-26396514,26401939-26402172,26402308-26402455,26404270-26404432,26405141-26405297,26413237-26413390,26446082-26446357
21	26380004	26380284	-1	KH_dom_type_1	47.1	26380004-26380046,26380142-26380284	PF00013	http://pfam.xfam.org/family/PF00013
21	26401988	26402311	-1	Ankyrin_rpt-contain_dom	491.3	26401988-26402172,26402308-26402311	PF12796	http://pfam.xfam.org/family/PF12796
21	26396267	26401981	-1	Ankyrin_rpt-contain_dom	491.3	26396267-26396323,26396420-26396514,26401939-26401981	PF12796	http://pfam.xfam.org/family/PF12796
21	26385611	26386042	-1	Ankyrin_rpt-contain_dom	491.3	26385611-26385696,26385787-26385898,26386025-26386042	PF12796	http://pfam.xfam.org/family/PF12796
21	26390788	26392947	-1	Ankyrin_rpt-contain_dom	491.3	26390788-26390806,26392530-26392615,26392693-26392802,26392890-26392947	PF12796	http://pfam.xfam.org/family/PF12796
21	26383519	26385598	-1	Ankyrin_rpt-contain_dom	491.3	26383519-26383662,26385551-26385598	PF12796	http://pfam.xfam.org/family/PF12796
21	26382452	26382913	-1	Ankyrin_rpt-contain_dom	491.3	26382452-26382484,26382609-26382771,26382858-26382913	PF12796	http://pfam.xfam.org/family/PF12796
21	26390500	26390778	-1	Ankyrin_rpt-contain_dom	491.3	26390500-26390571,26390677-26390778	PF12796	http://pfam.xfam.org/family/PF12796
21	26393062	26396251	-1	Ankyrin_rpt-contain_dom	491.3	26393062-26393081,26396086-26396251	PF12796	http://pfam.xfam.org/family/PF12796
21	26382944	26383399	-1	Ankyrin_rpt-contain_dom	491.3	26382944-26383033,26383214-26383399	PF12796	http://pfam.xfam.org/family/PF12796
21	26402318	26404410	-1	Ankyrin_rpt-contain_dom	491.3	26402318-26402455,26404270-26404410	PF12796	http://pfam.xfam.org/family/PF12796
