#>P	ENSDARG00000077068	ENSDART00000139428	ENSDARP00000117945	22	9360119	9425912	1	si:ch211-11p18.6 [Source:ZFIN;Acc:ZDB-GENE-070912-24]
#>E	ENSDARE00001044747,ENSDARE00001023713,ENSDARE00001005640,ENSDARE00001040626,ENSDARE00001023555,ENSDARE00001022432,ENSDARE00001042052,ENSDARE00001133484,ENSDARE00001131905,ENSDARE00001133317,ENSDARE00001131952,ENSDARE00001133537,ENSDARE00001132208,ENSDARE00001134179,ENSDARE00001133906,ENSDARE00001133464,ENSDARE00000986493,ENSDARE00001122232,ENSDARE00000918064,ENSDARE00000887090,ENSDARE00000967920,ENSDARE00000768096,ENSDARE00000890426,ENSDARE00000938316,ENSDARE00000966159,ENSDARE00000935149,ENSDARE00000927618,ENSDARE00000939555,ENSDARE00000903001,ENSDARE00000768412,ENSDARE00001048144,ENSDARE00001133169,ENSDARE00001132004,ENSDARE00001134000,ENSDARE00001131965,ENSDARE00001133408,ENSDARE00000988718,ENSDARE00000877932,ENSDARE00000959529,ENSDARE00000929133,ENSDARE00000911958,ENSDARE00001031094,ENSDARE00000895208,ENSDARE00000928589,ENSDARE00000960259,ENSDARE00000925888,ENSDARE00000886077,ENSDARE00000997073,ENSDARE00000981899,ENSDARE00000890935,ENSDARE00000956666,ENSDARE00000940837,ENSDARE00001134475,ENSDARE00001132854,ENSDARE00000953781,ENSDARE00000809365,ENSDARE00000935262,ENSDARE00000906158,ENSDARE00000975028,ENSDARE00000842707,ENSDARE00000805318,ENSDARE00000963244,ENSDARE00001133850	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	9360119-9360223,9360566-9360670,9363584-9363688,9364571-9364675,9369438-9369522,9369875-9370070,9370158-9371979,9373949-9374122,9375008-9375181,9375567-9375737,9375860-9376030,9377898-9378071,9380657-9380827,9380952-9381122,9381513-9381680,9381833-9382006,9382151-9382321,9382435-9382608,9382924-9383094,9386893-9387066,9387637-9387807,9388045-9388218,9389216-9389386,9389526-9389699,9390377-9390550,9390744-9390914,9391009-9391182,9391300-9391473,9393134-9393301,9393476-9393646,9393771-9393944,9394252-9394425,9397947-9398120,9398220-9398390,9399334-9399501,9400101-9400274,9400538-9400708,9401251-9401424,9401597-9401767,9402029-9402202,9402329-9402496,9405326-9405499,9405637-9405807,9406136-9406309,9406505-9406675,9406772-9406945,9407097-9407270,9407947-9408027,9408243-9408413,9408839-9409012,9409366-9409530,9410259-9410432,9410576-9410727,9412443-9412608,9414593-9414766,9415901-9416068,9419078-9419251,9419347-9419520,9420524-9420697,9421373-9421546,9424624-9424788,9425348-9425487,9425863-9425915
22	9370180	9370395	1	NATCH-assoc	97.8	9370180-9370395	PF14484	http://pfam.sanger.ac.uk/family?acc=PF14484
22	9415967	9416014	1	Leu-rich_rpt	506.2	9415967-9416014	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9381579	9381647	1	Leu-rich_rpt	506.2	9381579-9381647	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9388111	9388176	1	Leu-rich_rpt	506.2	9388111-9388176	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9407163	9407231	1	Leu-rich_rpt	506.2	9407163-9407231	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9401317	9401385	1	Leu-rich_rpt	506.2	9401317-9401385	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9406577	9406636	1	Leu-rich_rpt	506.2	9406577-9406636	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9420590	9420649	1	Leu-rich_rpt	506.2	9420590-9420649	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9381015	9381080	1	Leu-rich_rpt	506.2	9381015-9381080	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9406202	9406267	1	Leu-rich_rpt	506.2	9406202-9406267	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9399481	9400148	1	Leu-rich_rpt	506.2	9399481-9399501,9400101-9400148	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9409432	9409497	1	Leu-rich_rpt	506.2	9409432-9409497	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9375639	9375695	1	Leu-rich_rpt	506.2	9375639-9375695	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9400167	9400232	1	Leu-rich_rpt	506.2	9400167-9400232	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9393200	9393265	1	Leu-rich_rpt	506.2	9393200-9393265	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9377964	9378029	1	Leu-rich_rpt	506.2	9377964-9378029	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9421442	9421507	1	Leu-rich_rpt	506.2	9421442-9421507	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9382501	9382569	1	Leu-rich_rpt	506.2	9382501-9382569	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9389592	9389660	1	Leu-rich_rpt	506.2	9389592-9389660	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9394318	9394383	1	Leu-rich_rpt	506.2	9394318-9394383	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9405392	9405457	1	Leu-rich_rpt	506.2	9405392-9405457	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9390443	9390508	1	Leu-rich_rpt	506.2	9390443-9390508	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
22	9419144	9419185	1	Leu-rich_rpt	506.2	9419144-9419185	PF13516	http://pfam.sanger.ac.uk/family?acc=PF13516
