#>P	ENSDARG00000075707	ENSDART00000115064	ENSDARP00000097640	17	14790512	14868799	-1	nidogen 2a (osteonidogen) [Source:ZFIN;Acc:ZDB-GENE-030827-2]
#>E	ENSDARE00001135839,ENSDARE00000854345,ENSDARE00000813842,ENSDARE00000848712,ENSDARE00000835148,ENSDARE00000839356,ENSDARE00000874427,ENSDARE00001192851,ENSDARE00001143639,ENSDARE00001147661,ENSDARE00001138003,ENSDARE00001142620,ENSDARE00000869823,ENSDARE00001146112,ENSDARE00000813748,ENSDARE00000847709,ENSDARE00000775964,ENSDARE00000806487,ENSDARE00000847571,ENSDARE00001145679,ENSDARE00001143332,ENSDARE00000808323,ENSDARE00000850266,ENSDARE00000860970	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	14790509-14790617,14791912-14792035,14794583-14794740,14799689-14799860,14800209-14800338,14800424-14800593,14801815-14802045,14806670-14806897,14808475-14808702,14809434-14809661,14811007-14811234,14812065-14812292,14812760-14812987,14815803-14815928,14818311-14818439,14828248-14828394,14838679-14838906,14841066-14841266,14841588-14841833,14846034-14846183,14849617-14850098,14851584-14851825,14864790-14865092,14868557-14868799
17	14815816	14815908	-1	EGF_dom	77.3	14815816-14815908	PF12947	http://pfam.xfam.org/family/PF12947
17	14794623	14799690	-1	LDLR_classB_rpt	102.4	14794623-14794740,14799689-14799690	PF00058	http://pfam.xfam.org/family/PF00058
17	14799700	14799819	-1	LDLR_classB_rpt	102.4	14799700-14799819	PF00058	http://pfam.xfam.org/family/PF00058
17	14799829	14800299	-1	LDLR_classB_rpt	102.4	14799829-14799860,14800209-14800299	PF00058	http://pfam.xfam.org/family/PF00058
17	14818315	14818440	-1	EGF-like_Ca-bd_dom	71.8	14818315-14818440	PF07645	http://pfam.xfam.org/family/PF07645
17	14838785	14841834	-1	G2_nidogen/fibulin_G2F	206.1	14838785-14838906,14841066-14841266,14841588-14841834	PF07474	http://pfam.xfam.org/family/PF07474
17	14850050	14851825	-1	NIDO_dom	96.6	14850050-14850098,14851584-14851825	PF06119	http://pfam.xfam.org/family/PF06119
17	14812782	14812925	-1	Thyroglobulin_1	305.1	14812782-14812925	PF00086	http://pfam.xfam.org/family/PF00086
17	14811029	14811172	-1	Thyroglobulin_1	305.1	14811029-14811172	PF00086	http://pfam.xfam.org/family/PF00086
17	14800592	14802010	-1	Thyroglobulin_1	305.1	14800592-14800593,14801815-14802010	PF00086	http://pfam.xfam.org/family/PF00086
17	14812087	14812275	-1	Thyroglobulin_1	305.1	14812087-14812275	PF00086	http://pfam.xfam.org/family/PF00086
17	14806692	14806841	-1	Thyroglobulin_1	305.1	14806692-14806841	PF00086	http://pfam.xfam.org/family/PF00086
17	14809456	14809590	-1	Thyroglobulin_1	305.1	14809456-14809590	PF00086	http://pfam.xfam.org/family/PF00086
17	14808497	14808637	-1	Thyroglobulin_1	305.1	14808497-14808637	PF00086	http://pfam.xfam.org/family/PF00086
