#>P	ENSDARG00000059558	ENSDART00000082896	ENSDARP00000077331	5	62483967	62539825	-1	tectorin alpha [Source:ZFIN;Acc:ZDB-GENE-110411-120]
#>E	ENSDARE00001169282,ENSDARE00000776004,ENSDARE00000787928,ENSDARE00000602415,ENSDARE00000602417,ENSDARE00000602420,ENSDARE00000602423,ENSDARE00000815820,ENSDARE00000825468,ENSDARE00000870275,ENSDARE00000876069,ENSDARE00000873464,ENSDARE00000841599,ENSDARE00000825006,ENSDARE00000782057,ENSDARE00000854019,ENSDARE00000818401,ENSDARE00000789955,ENSDARE00000792672,ENSDARE00000808346,ENSDARE00000860877,ENSDARE00000800553,ENSDARE00000863090,ENSDARE00000842217,ENSDARE00001154494	0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0	62483964-62484067,62491816-62491935,62492092-62492176,62495387-62495549,62498570-62498818,62500245-62500408,62502827-62503029,62503387-62503494,62504544-62504824,62507385-62507671,62512619-62512999,62518734-62518933,62522985-62523525,62525424-62525528,62528983-62529632,62531272-62531842,62532159-62532772,62534032-62534602,62534758-62534937,62536069-62536301,62536444-62536609,62536726-62536863,62536991-62537278,62539227-62539366,62539762-62539825
5	62536484	62536860	-1	NIDO_dom	90.1	62536484-62536609,62536726-62536860	PF06119	http://pfam.sanger.ac.uk/family?acc=PF06119
5	62532603	62532764	-1	TIL_dom	97.2	62532603-62532764	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
5	62518764	62518925	-1	TIL_dom	97.2	62518764-62518925	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
5	62529460	62529624	-1	TIL_dom	97.2	62529460-62529624	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
5	62536147	62536459	-1	TILa_dom	54.2	62536147-62536301,62536444-62536459	PF12714	http://pfam.sanger.ac.uk/family?acc=PF12714
5	62512868	62518763	-1	TILa_dom	54.2	62512868-62512999,62518734-62518763	PF12714	http://pfam.sanger.ac.uk/family?acc=PF12714
5	62492171	62502997	-1	ZP_dom	154.1	62492171-62492176,62495387-62495549,62498570-62498818,62500245-62500408,62502827-62502997	PF00100	http://pfam.sanger.ac.uk/family?acc=PF00100
5	62531612	62532398	-1	VWF_type-D	381	62531612-62531842,62532159-62532398	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
5	62534375	62536128	-1	VWF_type-D	381	62534375-62534602,62534758-62534937,62536069-62536128	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
5	62523451	62529270	-1	VWF_type-D	381	62523451-62523525,62525424-62525528,62528983-62529270	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
5	62507444	62512846	-1	VWF_type-D	381	62507444-62507671,62512619-62512846	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
5	62534033	62534239	-1	Unchr_dom_Cys-rich	209.6	62534033-62534239	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
5	62531273	62531479	-1	Unchr_dom_Cys-rich	209.6	62531273-62531479	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
5	62522986	62523189	-1	Unchr_dom_Cys-rich	209.6	62522986-62523189	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
5	62504545	62504745	-1	Unchr_dom_Cys-rich	209.6	62504545-62504745	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
