#>P	ENSDARG00000052094	ENSDART00000169616	ENSDARP00000137615	5	65000732	65103529	-1	notch 1b [Source:ZFIN;Acc:ZDB-GENE-990415-183]
#>E	ENSDARE00001218601,ENSDARE00000924091,ENSDARE00000363349,ENSDARE00000690927,ENSDARE00000690929,ENSDARE00000690933,ENSDARE00000690937,ENSDARE00000690941,ENSDARE00000690945,ENSDARE00000690953,ENSDARE00000690957,ENSDARE00000690959,ENSDARE00000690964,ENSDARE00000690968,ENSDARE00000690971,ENSDARE00000690976,ENSDARE00000668773,ENSDARE00000690985,ENSDARE00000690923,ENSDARE00000690987,ENSDARE00000690990,ENSDARE00000690992,ENSDARE00000690994,ENSDARE00000690996,ENSDARE00000690998,ENSDARE00000691001,ENSDARE00000691003,ENSDARE00000691006,ENSDARE00000691008,ENSDARE00000691009,ENSDARE00000691012,ENSDARE00000691013,ENSDARE00001113209,ENSDARE00001174841	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0	65000729-65002012,65003444-65003541,65004868-65005015,65006576-65006874,65012062-65012224,65012318-65012408,65015994-65016207,65017049-65017197,65017370-65017804,65020151-65020722,65021981-65022093,65023750-65023998,65025774-65025906,65028054-65028238,65028788-65028941,65031188-65031389,65033923-65034151,65034230-65034382,65037032-65037151,65039325-65039438,65039527-65039672,65042089-65042281,65045209-65045319,65045840-65046073,65047063-65047176,65054067-65054180,65057225-65057410,65058357-65058512,65059574-65059807,65061822-65061944,65069644-65069982,65071956-65072218,65099076-65099148,65103472-65103529
5	65016185	65017380	-1	Notch_NODP_dom	87.5	65016185-65016207,65017049-65017197,65017370-65017380	PF07684	http://pfam.xfam.org/family/PF07684
5	65000774	65000968	-1	DUF3454_notch	89.4	65000774-65000968	PF11936	http://pfam.xfam.org/family/PF11936
5	65017525	65017695	-1	Notch_NOD_dom	91.1	65017525-65017695	PF06816	http://pfam.xfam.org/family/PF06816
5	65047163	65054142	-1	EGF-like_dom	628.1	65047163-65047176,65054067-65054142	PF00008	http://pfam.xfam.org/family/PF00008
5	65025886	65028119	-1	EGF-like_dom	628.1	65025886-65025906,65028054-65028119	PF00008	http://pfam.xfam.org/family/PF00008
5	65046057	65047138	-1	EGF-like_dom	628.1	65046057-65046073,65047063-65047138	PF00008	http://pfam.xfam.org/family/PF00008
5	65037144	65039409	-1	EGF-like_dom	628.1	65037144-65037151,65039325-65039409	PF00008	http://pfam.xfam.org/family/PF00008
5	65023997	65025858	-1	EGF-like_dom	628.1	65023997-65023998,65025774-65025858	PF00008	http://pfam.xfam.org/family/PF00008
5	65059803	65061906	-1	EGF-like_dom	628.1	65059803-65059807,65061822-65061906	PF00008	http://pfam.xfam.org/family/PF00008
5	65023853	65023933	-1	EGF-like_dom	628.1	65023853-65023933	PF00008	http://pfam.xfam.org/family/PF00008
5	65042277	65045290	-1	EGF-like_dom	628.1	65042277-65042281,65045209-65045290	PF00008	http://pfam.xfam.org/family/PF00008
5	65039639	65042138	-1	EGF-like_dom	628.1	65039639-65039672,65042089-65042138	PF00008	http://pfam.xfam.org/family/PF00008
5	65031311	65033933	-1	EGF-like_dom	628.1	65031311-65031389,65033923-65033933	PF00008	http://pfam.xfam.org/family/PF00008
5	65031197	65031286	-1	EGF-like_dom	628.1	65031197-65031286	PF00008	http://pfam.xfam.org/family/PF00008
5	65045315	65045924	-1	EGF-like_dom	628.1	65045315-65045319,65045840-65045924	PF00008	http://pfam.xfam.org/family/PF00008
5	65042169	65042252	-1	EGF-like_dom	628.1	65042169-65042252	PF00008	http://pfam.xfam.org/family/PF00008
5	65033955	65034047	-1	EGF-like_dom	628.1	65033955-65034047	PF00008	http://pfam.xfam.org/family/PF00008
5	65069975	65072034	-1	EGF-like_dom	628.1	65069975-65069982,65071956-65072034	PF00008	http://pfam.xfam.org/family/PF00008
5	65039431	65039611	-1	EGF-like_dom	628.1	65039431-65039438,65039527-65039611	PF00008	http://pfam.xfam.org/family/PF00008
5	65028837	65028926	-1	EGF-like_dom	628.1	65028837-65028926	PF00008	http://pfam.xfam.org/family/PF00008
5	65061928	65069722	-1	EGF-like_dom	628.1	65061928-65061944,65069644-65069722	PF00008	http://pfam.xfam.org/family/PF00008
5	65034075	65034239	-1	EGF-like_dom	628.1	65034075-65034151,65034230-65034239	PF00008	http://pfam.xfam.org/family/PF00008
5	65045952	65046035	-1	EGF-like_dom	628.1	65045952-65046035	PF00008	http://pfam.xfam.org/family/PF00008
5	65004995	65006776	-1	Ankyrin_rpt-contain_dom	127.3	65004995-65005015,65006576-65006776	PF12796	http://pfam.xfam.org/family/PF12796
5	65001926	65004955	-1	Ankyrin_rpt-contain_dom	127.3	65001926-65002012,65003444-65003541,65004868-65004955	PF12796	http://pfam.xfam.org/family/PF12796
5	65059686	65059790	-1	EGF-like_Ca-bd_dom	166.4	65059686-65059790	PF07645	http://pfam.xfam.org/family/PF07645
5	65034264	65034365	-1	EGF-like_Ca-bd_dom	166.4	65034264-65034365	PF07645	http://pfam.xfam.org/family/PF07645
5	65057331	65058378	-1	EGF-like_Ca-bd_dom	166.4	65057331-65057410,65058357-65058378	PF07645	http://pfam.xfam.org/family/PF07645
