#>P	ENSDARG00000014246	ENSDART00000025007	ENSDARP00000026847	13	33378490	33442151	1	jagged 2 [Source:HGNC Symbol;Acc:HGNC:6189]
#>E	ENSDARE00001202284,ENSDARE00000150411,ENSDARE00000155814,ENSDARE00000043350,ENSDARE00000132837,ENSDARE00000136280,ENSDARE00000014136,ENSDARE00000053720,ENSDARE00000114740,ENSDARE00000057317,ENSDARE00000893837,ENSDARE00000111117,ENSDARE00000043597,ENSDARE00000104676,ENSDARE00000099785,ENSDARE00000076226,ENSDARE00000071389,ENSDARE00000046256,ENSDARE00000081900,ENSDARE00000100449,ENSDARE00000118691,ENSDARE00000103397,ENSDARE00000025405,ENSDARE00000132670,ENSDARE00000152985,ENSDARE00000264543	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	33378490-33378552,33379021-33379332,33396339-33396399,33408334-33408588,33411328-33411388,33412651-33412781,33414764-33414883,33415035-33415148,33417242-33417355,33420092-33420205,33421215-33421261,33423597-33423770,33423855-33424005,33424100-33424264,33424740-33424853,33425520-33425633,33425715-33425828,33428021-33428137,33428322-33428349,33428614-33428699,33430288-33430401,33432561-33432676,33433215-33433469,33433588-33433719,33438513-33438666,33441688-33442154
13	33408405	33408581	1	DSL	82.8	33408405-33408581	PF01414	http://pfam.xfam.org/family/PF01414
13	33420091	33420195	1	EGF-like_Ca-bd_dom	30	33420091-33420195	PF07645	http://pfam.xfam.org/family/PF07645
13	33414787	33414873	1	EGF-like_dom	248.3	33414787-33414873	PF00008	http://pfam.xfam.org/family/PF00008
13	33424751	33424837	1	EGF-like_dom	248.3	33424751-33424837	PF00008	http://pfam.xfam.org/family/PF00008
13	33415046	33415138	1	EGF-like_dom	248.3	33415046-33415138	PF00008	http://pfam.xfam.org/family/PF00008
13	33428035	33428127	1	EGF-like_dom	248.3	33428035-33428127	PF00008	http://pfam.xfam.org/family/PF00008
13	33430299	33430391	1	EGF-like_dom	248.3	33430299-33430391	PF00008	http://pfam.xfam.org/family/PF00008
13	33425531	33425623	1	EGF-like_dom	248.3	33425531-33425623	PF00008	http://pfam.xfam.org/family/PF00008
13	33421232	33423647	1	EGF-like_dom	248.3	33421232-33421261,33423597-33423647	PF00008	http://pfam.xfam.org/family/PF00008
13	33423672	33423764	1	EGF-like_dom	248.3	33423672-33423764	PF00008	http://pfam.xfam.org/family/PF00008
13	33417253	33417345	1	EGF-like_dom	248.3	33417253-33417345	PF00008	http://pfam.xfam.org/family/PF00008
13	33425726	33425815	1	EGF-like_dom	248.3	33425726-33425815	PF00008	http://pfam.xfam.org/family/PF00008
13	33428333	33428686	1	EGF-like_dom	248.3	33428333-33428349,33428614-33428686	PF00008	http://pfam.xfam.org/family/PF00008
13	33423870	33423962	1	EGF-like_dom	248.3	33423870-33423962	PF00008	http://pfam.xfam.org/family/PF00008
