#>P	ENSDARG00000033950	ENSDART00000048366	ENSDARP00000048365	23	20336784	20399388	-1	laminin, beta 2-like [Source:ZFIN;Acc:ZDB-GENE-030131-4205]
#>E	ENSDARE00001163434,ENSDARE00000991839,ENSDARE00000994000,ENSDARE00000913691,ENSDARE00000265909,ENSDARE00000264141,ENSDARE00000284439,ENSDARE00000285560,ENSDARE00000397120,ENSDARE00000574856,ENSDARE00000574859,ENSDARE00000574863,ENSDARE00001021446,ENSDARE00001040605,ENSDARE00001045425,ENSDARE00001032651,ENSDARE00001027872,ENSDARE00000988932,ENSDARE00001032223,ENSDARE00001030695,ENSDARE00001182014,ENSDARE00001043004,ENSDARE00001008592,ENSDARE00000993405,ENSDARE00001042088,ENSDARE00000992301,ENSDARE00001039812,ENSDARE00000989213,ENSDARE00001012235,ENSDARE00001025858,ENSDARE00000985862,ENSDARE00001003442,ENSDARE00000984676,ENSDARE00001165044	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0	20336781-20336917,20337996-20338155,20338576-20338752,20339374-20339515,20339881-20340088,20340724-20340868,20340949-20341164,20344227-20344474,20351071-20351255,20352019-20352391,20352993-20353089,20355551-20355765,20355851-20356075,20356147-20356310,20357758-20357989,20358169-20358312,20360889-20361081,20361460-20361580,20364775-20364896,20366197-20366358,20366442-20366576,20368817-20368973,20369227-20369306,20370620-20370732,20371159-20371338,20371421-20371609,20373546-20373666,20373778-20373980,20375045-20375108,20375223-20375411,20375530-20375603,20376434-20376569,20382993-20383162,20399355-20399388
23	20373850	20383103	-1	Laminin_N	280.6	20373850-20373980,20375045-20375108,20375223-20375411,20375530-20375603,20376434-20376569,20382993-20383103	PF00055	http://pfam.xfam.org/family/PF00055
23	20356011	20356252	-1	Laminin_EGF	374.8	20356011-20356075,20356147-20356252	PF00053	http://pfam.xfam.org/family/PF00053
23	20358185	20358310	-1	Laminin_EGF	374.8	20358185-20358310	PF00053	http://pfam.xfam.org/family/PF00053
23	20371163	20371336	-1	Laminin_EGF	374.8	20371163-20371336	PF00053	http://pfam.xfam.org/family/PF00053
23	20352267	20352389	-1	Laminin_EGF	374.8	20352267-20352389	PF00053	http://pfam.xfam.org/family/PF00053
23	20357859	20357987	-1	Laminin_EGF	374.8	20357859-20357987	PF00053	http://pfam.xfam.org/family/PF00053
23	20355602	20355763	-1	Laminin_EGF	374.8	20355602-20355763	PF00053	http://pfam.xfam.org/family/PF00053
23	20369268	20370730	-1	Laminin_EGF	374.8	20369268-20369306,20370620-20370730	PF00053	http://pfam.xfam.org/family/PF00053
23	20368892	20369261	-1	Laminin_EGF	374.8	20368892-20368973,20369227-20369261	PF00053	http://pfam.xfam.org/family/PF00053
23	20373574	20373846	-1	Laminin_EGF	374.8	20373574-20373666,20373778-20373846	PF00053	http://pfam.xfam.org/family/PF00053
23	20371437	20371607	-1	Laminin_EGF	374.8	20371437-20371607	PF00053	http://pfam.xfam.org/family/PF00053
23	20356259	20357849	-1	Laminin_EGF	374.8	20356259-20356310,20357758-20357849	PF00053	http://pfam.xfam.org/family/PF00053
23	20355855	20356004	-1	Laminin_EGF	374.8	20355855-20356004	PF00053	http://pfam.xfam.org/family/PF00053
