#>P	ENSDARG00000021987	ENSDART00000160008	ENSDARP00000134788	16	5466679	5593086	1	plectin b [Source:ZFIN;Acc:ZDB-GENE-100917-2]
#>E	ENSDARE00001210374,ENSDARE00001161657,ENSDARE00001226501,ENSDARE00001202426,ENSDARE00001209299,ENSDARE00001183076,ENSDARE00001179690,ENSDARE00001108913,ENSDARE00001129058,ENSDARE00001123000,ENSDARE00001110424,ENSDARE00000822965,ENSDARE00000845807,ENSDARE00000807435,ENSDARE00000839002,ENSDARE00000878845,ENSDARE00000858252,ENSDARE00000786181,ENSDARE00000822026,ENSDARE00000952741,ENSDARE00000877585,ENSDARE00000798064,ENSDARE00000928941,ENSDARE00000793836,ENSDARE00000839311,ENSDARE00000820205,ENSDARE00000814062,ENSDARE00000843667,ENSDARE00000872080,ENSDARE00000813009,ENSDARE00000839622,ENSDARE00000815221,ENSDARE00000829420,ENSDARE00000845067,ENSDARE00000829584,ENSDARE00000384786,ENSDARE00000846765	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	5466679-5467137,5473258-5473261,5474068-5474091,5507351-5507372,5517003-5517011,5518032-5518104,5523397-5523411,5528571-5528660,5534784-5534861,5537051-5537143,5540360-5540526,5547100-5547215,5547928-5548034,5550295-5550414,5552291-5552386,5553678-5553805,5557747-5557840,5559777-5559931,5560075-5560399,5562510-5562587,5562663-5562824,5563520-5563624,5563897-5563992,5564215-5564340,5564531-5564683,5564932-5565086,5566637-5566763,5570393-5570576,5574965-5575122,5575413-5575588,5575781-5575919,5578173-5578529,5578743-5578826,5580605-5580709,5580837-5580935,5583392-5586745,5586979-5593089
16	5466697	5466984	1	S10_plectin_N	127.8	5466697-5466984	PF03501	http://pfam.xfam.org/family/PF03501
16	5592646	5592774	1	Plectin_repeat	867.7	5592646-5592774	PF00681	http://pfam.xfam.org/family/PF00681
16	5591386	5591514	1	Plectin_repeat	867.7	5591386-5591514	PF00681	http://pfam.xfam.org/family/PF00681
16	5591608	5591742	1	Plectin_repeat	867.7	5591608-5591742	PF00681	http://pfam.xfam.org/family/PF00681
16	5587936	5588067	1	Plectin_repeat	867.7	5587936-5588067	PF00681	http://pfam.xfam.org/family/PF00681
16	5591917	5592015	1	Plectin_repeat	867.7	5591917-5592015	PF00681	http://pfam.xfam.org/family/PF00681
16	5589685	5589816	1	Plectin_repeat	867.7	5589685-5589816	PF00681	http://pfam.xfam.org/family/PF00681
16	5589910	5590035	1	Plectin_repeat	867.7	5589910-5590035	PF00681	http://pfam.xfam.org/family/PF00681
16	5587708	5587842	1	Plectin_repeat	867.7	5587708-5587842	PF00681	http://pfam.xfam.org/family/PF00681
16	5592418	5592552	1	Plectin_repeat	867.7	5592418-5592552	PF00681	http://pfam.xfam.org/family/PF00681
16	5590891	5591019	1	Plectin_repeat	867.7	5590891-5591019	PF00681	http://pfam.xfam.org/family/PF00681
16	5588917	5589045	1	Plectin_repeat	867.7	5588917-5589045	PF00681	http://pfam.xfam.org/family/PF00681
16	5588689	5588823	1	Plectin_repeat	867.7	5588689-5588823	PF00681	http://pfam.xfam.org/family/PF00681
16	5590666	5590797	1	Plectin_repeat	867.7	5590666-5590797	PF00681	http://pfam.xfam.org/family/PF00681
16	5518063	5537143	1	CH-domain	127.1	5518063-5518104,5523397-5523411,5528571-5528660,5534784-5534861,5537051-5537143	PF00307	http://pfam.xfam.org/family/PF00307
16	5540405	5547989	1	CH-domain	127.1	5540405-5540526,5547100-5547215,5547928-5547989	PF00307	http://pfam.xfam.org/family/PF00307
