#>P	ENSDARG00000098311	ENSDART00000158135	ENSDARP00000137141	4	207365	212361	1	\N
#>E	ENSDARE00001169964,ENSDARE00001179056,ENSDARE00001166007,ENSDARE00001194466,ENSDARE00001214149,ENSDARE00001187827,ENSDARE00001219742,ENSDARE00001199603,ENSDARE00001217364	0,0,0,0,0,0,0,0,0	207365-207405,207811-208013,208140-208235,208402-208497,208592-208702,209595-209724,209982-210792,210880-210911,211025-212364
4	207881	209596	1	TINF2_N	135.5	207881-208013,208140-208235,208402-208497,208592-208702,209595-209596	PF14973	http://pfam.xfam.org/family/PF14973
4	211779	211850	1	Znf_C2H2	248.3	211779-211850	PF13465	http://pfam.xfam.org/family/PF13465
4	211944	212018	1	Znf_C2H2	248.3	211944-212018	PF13465	http://pfam.xfam.org/family/PF13465
4	211863	211937	1	Znf_C2H2	248.3	211863-211937	PF13465	http://pfam.xfam.org/family/PF13465
4	211695	211766	1	Znf_C2H2	248.3	211695-211766	PF13465	http://pfam.xfam.org/family/PF13465
4	212028	212105	1	Znf_C2H2	248.3	212028-212105	PF13465	http://pfam.xfam.org/family/PF13465
4	212199	212270	1	Znf_C2H2	248.3	212199-212270	PF13465	http://pfam.xfam.org/family/PF13465
4	211611	211679	1	Znf_C2H2	248.3	211611-211679	PF13465	http://pfam.xfam.org/family/PF13465
4	212115	212186	1	Znf_C2H2	248.3	212115-212186	PF13465	http://pfam.xfam.org/family/PF13465
4	211479	211526	1	Znf_C2H2	59.2	211479-211526	PF13912	http://pfam.xfam.org/family/PF13912
4	211311	211370	1	Znf_C2H2	59.2	211311-211370	PF13912	http://pfam.xfam.org/family/PF13912
