#>P	ENSDARG00000018923	ENSDART00000014149	ENSDARP00000014029	14	25809215	25874805	-1	FAT atypical cadherin 2 [Source:ZFIN;Acc:ZDB-GENE-111031-1]
#>E	ENSDARE00000775195,ENSDARE00000866057,ENSDARE00000802360,ENSDARE00000077039,ENSDARE00000457042,ENSDARE00000568517,ENSDARE00000568522,ENSDARE00000568524,ENSDARE00000568529,ENSDARE00000568532,ENSDARE00000568537,ENSDARE00000568542,ENSDARE00000568547,ENSDARE00000568553,ENSDARE00000568558,ENSDARE00000568566,ENSDARE00000568571,ENSDARE00000568577,ENSDARE00000568583,ENSDARE00000568585,ENSDARE00000568589,ENSDARE00000568593,ENSDARE00000568598	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	25809212-25809675,25811692-25812209,25813933-25814092,25816776-25817217,25825717-25825871,25830121-25830922,25833779-25833976,25838223-25838366,25838562-25838699,25841491-25841702,25849884-25850273,25852450-25852683,25853165-25853318,25853678-25853874,25855262-25859302,25859533-25859743,25860087-25860362,25860544-25860683,25865838-25866048,25867713-25868024,25869012-25869070,25870797-25871108,25871547-25874805
14	25816921	25825782	-1	Laminin_G	56.3	25816921-25817217,25825717-25825782	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
14	25867959	25870941	-1	Cadherin	1540.4	25867959-25868024,25869012-25869070,25870797-25870941	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25856991	25857260	-1	Cadherin	1540.4	25856991-25857260	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25853714	25855373	-1	Cadherin	1540.4	25853714-25853874,25855262-25855373	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25830863	25838228	-1	Cadherin	1540.4	25830863-25830922,25833779-25833976,25838223-25838228	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25838283	25841541	-1	Cadherin	1540.4	25838283-25838366,25838562-25838699,25841491-25841541	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25856058	25856336	-1	Cadherin	1540.4	25856058-25856336	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25859684	25860305	-1	Cadherin	1540.4	25859684-25859743,25860087-25860305	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25872073	25872333	-1	Cadherin	1540.4	25872073-25872333	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25871743	25872018	-1	Cadherin	1540.4	25871743-25872018	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25850077	25852525	-1	Cadherin	1540.4	25850077-25850273,25852450-25852525	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25855419	25855697	-1	Cadherin	1540.4	25855419-25855697	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25870987	25871694	-1	Cadherin	1540.4	25870987-25871108,25871547-25871694	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25858509	25858748	-1	Cadherin	1540.4	25858509-25858748	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25874059	25874343	-1	Cadherin	1540.4	25874059-25874343	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25858866	25859090	-1	Cadherin	1540.4	25858866-25859090	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25872376	25872642	-1	Cadherin	1540.4	25872376-25872642	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25873141	25873413	-1	Cadherin	1540.4	25873141-25873413	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25856385	25856648	-1	Cadherin	1540.4	25856385-25856648	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25857597	25857845	-1	Cadherin	1540.4	25857597-25857845	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25859139	25859635	-1	Cadherin	1540.4	25859139-25859302,25859533-25859635	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25857303	25857560	-1	Cadherin	1540.4	25857303-25857560	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25865992	25867913	-1	Cadherin	1540.4	25865992-25866048,25867713-25867913	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25856706	25856948	-1	Cadherin	1540.4	25856706-25856948	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25852568	25853312	-1	Cadherin	1540.4	25852568-25852683,25853165-25853312	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
14	25841581	25850034	-1	Cadherin	1540.4	25841581-25841702,25849884-25850034	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
