#>P	ENSDARG00000017128	ENSDART00000026000	ENSDARP00000005170	13	29108400	29158449	1	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]
#>E	ENSDARE00000081365,ENSDARE00000069766,ENSDARE00000033476,ENSDARE00000139620,ENSDARE00000027647,ENSDARE00000333886,ENSDARE00000157233,ENSDARE00000040972,ENSDARE00000045715,ENSDARE00000148871,ENSDARE00000163610,ENSDARE00000157637,ENSDARE00000134940,ENSDARE00000131398,ENSDARE00000088896,ENSDARE00000102093,ENSDARE00000843243,ENSDARE00000093480,ENSDARE00000423949,ENSDARE00000423948,ENSDARE00000164005,ENSDARE00000121737,ENSDARE00000117222,ENSDARE00000423947,ENSDARE00000232001,ENSDARE00000423946,ENSDARE00000231984,ENSDARE00000046588,ENSDARE00000028763,ENSDARE00000079130,ENSDARE00000080476,ENSDARE00000014341,ENSDARE00000025557,ENSDARE00000231672,ENSDARE00000075765,ENSDARE00000423943,ENSDARE00000423942,ENSDARE00000552973,ENSDARE00000077479,ENSDARE00000051606,ENSDARE00000267524,ENSDARE00000423941,ENSDARE00000721523,ENSDARE00000721521,ENSDARE00000721518,ENSDARE00000721516,ENSDARE00000721514,ENSDARE00000721512,ENSDARE00000721511,ENSDARE00000721509,ENSDARE00000868761,ENSDARE00000721503,ENSDARE00000721501	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	29108400-29108487,29109038-29109093,29109182-29109273,29115269-29115377,29115467-29115566,29116318-29116490,29117625-29117753,29118008-29118070,29120540-29120590,29120709-29120739,29120877-29120992,29124077-29124203,29124296-29124399,29124498-29124566,29125391-29125434,29126134-29126216,29126419-29126457,29126616-29126740,29127013-29127126,29128272-29128449,29128542-29128666,29128757-29128866,29130277-29130469,29130589-29130744,29132052-29132183,29132300-29132463,29134094-29134208,29135564-29135666,29136353-29136489,29136610-29136774,29137766-29137853,29138373-29138450,29138544-29138725,29138801-29138959,29140904-29141005,29141086-29141247,29142015-29142180,29148370-29148443,29148676-29148774,29148898-29149026,29150776-29150931,29151878-29151969,29152054-29152224,29152315-29152463,29153179-29153318,29154263-29154351,29154431-29154526,29155575-29155716,29155871-29155970,29156076-29156254,29157958-29158067,29158153-29158300,29158417-29158452
13	29128784	29130391	1	Ferlin_A-domain	80.2	29128784-29128866,29130277-29130391	PF08165	http://pfam.xfam.org/family/PF08165
13	29130589	29132117	1	Ferlin_B-domain	106.6	29130589-29130744,29132052-29132117	PF08150	http://pfam.xfam.org/family/PF08150
13	29138387	29138836	1	C2_dom	329.3	29138387-29138450,29138544-29138725,29138801-29138836	PF00168	http://pfam.xfam.org/family/PF00168
13	29155901	29156107	1	C2_dom	329.3	29155901-29155970,29156076-29156107	PF00168	http://pfam.xfam.org/family/PF00168
13	29150875	29152174	1	C2_dom	329.3	29150875-29150931,29151878-29151969,29152054-29152174	PF00168	http://pfam.xfam.org/family/PF00168
13	29141092	29142119	1	C2_dom	329.3	29141092-29141247,29142015-29142119	PF00168	http://pfam.xfam.org/family/PF00168
13	29124161	29126206	1	C2_dom	329.3	29124161-29124203,29124296-29124399,29124498-29124566,29125391-29125434,29126134-29126206	PF00168	http://pfam.xfam.org/family/PF00168
13	29108403	29115320	1	C2_dom	329.3	29108403-29108487,29109038-29109093,29109182-29109273,29115269-29115320	PF00168	http://pfam.xfam.org/family/PF00168
13	29116488	29120735	1	C2_dom	329.3	29116488-29116490,29117625-29117753,29118008-29118070,29120540-29120590,29120709-29120735	PF00168	http://pfam.xfam.org/family/PF00168
13	29156246	29158434	1	Ferlin_C	100	29156246-29156254,29157958-29158067,29158153-29158300,29158417-29158434	PF16165	http://pfam.xfam.org/family/PF16165
13	29120912	29124145	1	FerIin_dom	68	29120912-29120992,29124077-29124145	PF08151	http://pfam.xfam.org/family/PF08151
