#>P	ENSDARG00000101592	ENSDART00000168576	ENSDARP00000138598	KN150214.1	31559	144310	-1	persistent plexus [Source:ZFIN;Acc:ZDB-GENE-090826-1]
#>E	ENSDARE00001180143,ENSDARE00001217607,ENSDARE00001218879,ENSDARE00001204849,ENSDARE00001200709,ENSDARE00001179959,ENSDARE00001227625,ENSDARE00001196016,ENSDARE00001195977,ENSDARE00001200175,ENSDARE00001206454,ENSDARE00001192252,ENSDARE00001210919,ENSDARE00001225045,ENSDARE00001162715,ENSDARE00001198846,ENSDARE00001188190,ENSDARE00001178113,ENSDARE00001205442,ENSDARE00001206476,ENSDARE00001205401,ENSDARE00001159675,ENSDARE00001196583,ENSDARE00001150263,ENSDARE00001151827,ENSDARE00001207813,ENSDARE00001200148,ENSDARE00001204500,ENSDARE00001156520,ENSDARE00001200846,ENSDARE00001158249,ENSDARE00001171742,ENSDARE00001200842,ENSDARE00001204345,ENSDARE00001191897,ENSDARE00001223465,ENSDARE00001191773,ENSDARE00001186220,ENSDARE00001216272,ENSDARE00001227101,ENSDARE00001190761,ENSDARE00001151848,ENSDARE00001184824,ENSDARE00001218098,ENSDARE00001183159,ENSDARE00001208926,ENSDARE00001159391,ENSDARE00001203568,ENSDARE00001157770,ENSDARE00001153406,ENSDARE00001225199,ENSDARE00001193757,ENSDARE00001200496,ENSDARE00001159116,ENSDARE00001172399,ENSDARE00001168555,ENSDARE00001168009,ENSDARE00001183983,ENSDARE00001183316,ENSDARE00001192469,ENSDARE00001160524,ENSDARE00001183081,ENSDARE00001178442,ENSDARE00001207158,ENSDARE00001169285	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	31556-31749,31884-31961,32042-32224,32296-32362,32442-32621,33729-33773,33852-33887,34095-34166,34297-34350,34435-34488,34579-34632,38020-38064,38336-38389,38500-38553,40181-40234,40326-40379,40477-40530,40618-40671,40754-40807,40951-41064,42862-42897,43194-43238,45770-45823,45912-45947,46304-46381,48966-49010,49875-49979,50202-50255,51698-51751,51852-51905,52450-52503,55120-55173,58424-58456,58621-58662,61316-61369,61681-61743,61824-61868,63493-63546,63708-63761,63898-63951,64068-64121,67227-67280,72832-72885,74830-74883,74963-74992,75083-75118,76979-77032,77180-77233,79974-80022,81745-81774,81943-81962,82140-82193,82265-82318,85098-85151,93931-93969,94189-94251,94363-94407,96399-96515,99306-99386,100998-101273,101532-101655,101887-101998,125036-125116,143404-143970,144220-144310
KN150214.1	143432	143950	-1	VWF_A	161	143432-143950	PF00092	http://pfam.xfam.org/family/PF00092
KN150214.1	58621	61841	-1	Collagen	519	58621-58662,61316-61369,61681-61743,61824-61841	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	63720	67253	-1	Collagen	519	63720-63761,63898-63951,64068-64121,67227-67253	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	51855	58435	-1	Collagen	519	51855-51905,52450-52503,55120-55173,58424-58435	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	61827	63924	-1	Collagen	519	61827-61868,63493-63546,63708-63761,63898-63924	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	42892	46321	-1	Collagen	519	42892-42897,43194-43238,45770-45823,45912-45947,46304-46321	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	93964	96410	-1	Collagen	519	93964-93969,94189-94251,94363-94407,96399-96410	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	46325	49943	-1	Collagen	519	46325-46381,48966-49010,49875-49943	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	49926	51751	-1	Collagen	519	49926-49979,50202-50255,51698-51751	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	76994	81770	-1	Collagen	519	76994-77032,77180-77233,79974-80022,81745-81770	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	82146	93948	-1	Collagen	519	82146-82193,82265-82318,85098-85151,93931-93948	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	31924	32168	-1	Collagen	519	31924-31961,32042-32168	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	32357	32612	-1	Collagen	519	32357-32362,32442-32612	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	32574	34133	-1	Collagen	519	32574-32621,33729-33773,33852-33887,34095-34133	PF01391	http://pfam.xfam.org/family/PF01391
KN150214.1	40651	41043	-1	Collagen	519	40651-40671,40754-40807,40951-41043	PF01391	http://pfam.xfam.org/family/PF01391
