#>P	ENSDARG00000093572	ENSDART00000145127	ENSDARP00000117247	5	33807610	33942314	1	laminin, gamma 3 [Source:ZFIN;Acc:ZDB-GENE-060531-121]
#>E	ENSDARE00001006427,ENSDARE00000993834,ENSDARE00001036933,ENSDARE00001004047,ENSDARE00000986831,ENSDARE00000991313,ENSDARE00001006085,ENSDARE00001013835,ENSDARE00001008922,ENSDARE00001039550,ENSDARE00001010600,ENSDARE00001012480,ENSDARE00001047645,ENSDARE00000998143,ENSDARE00001013070,ENSDARE00001046567,ENSDARE00000995800,ENSDARE00001022945,ENSDARE00001033875,ENSDARE00000986105,ENSDARE00001037177,ENSDARE00001028641,ENSDARE00001007254,ENSDARE00000991818,ENSDARE00001002669,ENSDARE00001032101,ENSDARE00001031717,ENSDARE00001018840	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	33807610-33807979,33815833-33816137,33849579-33849709,33851105-33851271,33857479-33857667,33860252-33860369,33863654-33863752,33865464-33865600,33866282-33866398,33882927-33883125,33885568-33885671,33896809-33897042,33918725-33918913,33919134-33919385,33921831-33921984,33922443-33922585,33925063-33925241,33927766-33927958,33929322-33929563,33929655-33929731,33929814-33929948,33932353-33932605,33934399-33934542,33935416-33935518,33937199-33937401,33940052-33940195,33940627-33940726,33942067-33942317
5	33866383	33896897	1	Laminin_IV	69.8	33866383-33866398,33882927-33883125,33885568-33885671,33896809-33896897	PF00052	http://pfam.xfam.org/family/PF00052
5	33807718	33849707	1	Laminin_N	253.9	33807718-33807979,33815833-33816137,33849579-33849707	PF00055	http://pfam.xfam.org/family/PF00055
5	33921833	33921979	1	Laminin_EGF	252.2	33921833-33921979	PF00053	http://pfam.xfam.org/family/PF00053
5	33919214	33919372	1	Laminin_EGF	252.2	33919214-33919372	PF00053	http://pfam.xfam.org/family/PF00053
5	33922444	33922581	1	Laminin_EGF	252.2	33922444-33922581	PF00053	http://pfam.xfam.org/family/PF00053
5	33918829	33919180	1	Laminin_EGF	252.2	33918829-33918913,33919134-33919180	PF00053	http://pfam.xfam.org/family/PF00053
5	33896898	33896966	1	Laminin_EGF	252.2	33896898-33896966	PF00053	http://pfam.xfam.org/family/PF00053
5	33897003	33918822	1	Laminin_EGF	252.2	33897003-33897042,33918725-33918822	PF00053	http://pfam.xfam.org/family/PF00053
5	33857649	33860367	1	Laminin_EGF	252.2	33857649-33857667,33860252-33860367	PF00053	http://pfam.xfam.org/family/PF00053
5	33851106	33851252	1	Laminin_EGF	252.2	33851106-33851252	PF00053	http://pfam.xfam.org/family/PF00053
5	33925065	33925202	1	Laminin_EGF	252.2	33925065-33925202	PF00053	http://pfam.xfam.org/family/PF00053
5	33857481	33857630	1	Laminin_EGF	252.2	33857481-33857630	PF00053	http://pfam.xfam.org/family/PF00053
5	33863658	33865512	1	Laminin_EGF	252.2	33863658-33863752,33865464-33865512	PF00053	http://pfam.xfam.org/family/PF00053
