#>P	ENSDARG00000077641	ENSDART00000057305	ENSDARP00000057304	16	42996786	43029487	-1	thrombospondin 3a [Source:ZFIN;Acc:ZDB-GENE-020708-3]
#>E	ENSDARE00000734476,ENSDARE00000973550,ENSDARE00000973972,ENSDARE00000931060,ENSDARE00000948537,ENSDARE00000899267,ENSDARE00000888175,ENSDARE00000925789,ENSDARE00000979452,ENSDARE00000966557,ENSDARE00000918864,ENSDARE00000929894,ENSDARE00000900758,ENSDARE00000893239,ENSDARE00000899988,ENSDARE00000945155,ENSDARE00000953991,ENSDARE00000886071,ENSDARE00000948625,ENSDARE00000978041,ENSDARE00000947798,ENSDARE00000928625,ENSDARE00000975267	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	42996783-42996844,42996995-42997134,43002637-43002809,43002929-43003125,43003197-43003245,43005092-43005270,43007090-43007292,43007443-43007495,43008805-43008923,43009003-43009162,43011032-43011139,43011474-43011584,43015186-43015338,43015421-43015495,43016545-43016685,43017292-43017440,43018394-43018445,43021318-43021400,43021499-43021525,43021613-43021715,43023199-43023452,43027889-43028095,43029397-43029487
16	43017439	43021398	-1	Thbs/COMP_coiled-coil	56.5	43017439-43017440,43018394-43018445,43021318-43021398	PF11598	http://pfam.xfam.org/family/PF11598
16	43015291	43015486	-1	EGF-like_Ca-bd_dom	48.4	43015291-43015338,43015421-43015486	PF07645	http://pfam.xfam.org/family/PF07645
16	43016596	43017303	-1	EGF-like_Ca-bd_dom	48.4	43016596-43016685,43017292-43017303	PF07645	http://pfam.xfam.org/family/PF07645
16	43007232	43007495	-1	Thrombospondin_3-like_rpt	212.4	43007232-43007292,43007443-43007495	PF02412	http://pfam.xfam.org/family/PF02412
16	43008874	43009060	-1	Thrombospondin_3-like_rpt	212.4	43008874-43008923,43009003-43009060	PF02412	http://pfam.xfam.org/family/PF02412
16	43007103	43007228	-1	Thrombospondin_3-like_rpt	212.4	43007103-43007228	PF02412	http://pfam.xfam.org/family/PF02412
16	43009130	43011106	-1	Thrombospondin_3-like_rpt	212.4	43009130-43009162,43011032-43011106	PF02412	http://pfam.xfam.org/family/PF02412
16	43009061	43009120	-1	Thrombospondin_3-like_rpt	212.4	43009061-43009120	PF02412	http://pfam.xfam.org/family/PF02412
16	43008805	43008873	-1	Thrombospondin_3-like_rpt	212.4	43008805-43008873	PF02412	http://pfam.xfam.org/family/PF02412
16	43005179	43007102	-1	Thrombospondin_3-like_rpt	212.4	43005179-43005270,43007090-43007102	PF02412	http://pfam.xfam.org/family/PF02412
16	42996843	43005124	-1	Thrombospondin_C	321.6	42996843-42996844,42996995-42997134,43002637-43002809,43002929-43003125,43003197-43003245,43005092-43005124	PF05735	http://pfam.xfam.org/family/PF05735
