#>P	ENSDARG00000077582	ENSDART00000088100	ENSDARP00000082533	12	7612590	7902539	-1	ankyrin 3b [Source:ZFIN;Acc:ZDB-GENE-060621-2]
#>E	ENSDARE00001197467,ENSDARE00001148991,ENSDARE00001194799,ENSDARE00001186846,ENSDARE00000964674,ENSDARE00000777898,ENSDARE00000892225,ENSDARE00000871333,ENSDARE00000950625,ENSDARE00000801969,ENSDARE00000775032,ENSDARE00000831576,ENSDARE00000968984,ENSDARE00000823422,ENSDARE00000785790,ENSDARE00000851510,ENSDARE00000857375,ENSDARE00000852338,ENSDARE00000782800,ENSDARE00000912384,ENSDARE00000953417,ENSDARE00000869833,ENSDARE00000784053,ENSDARE00000848185,ENSDARE00000808713,ENSDARE00000869956,ENSDARE00000877196,ENSDARE00000822168,ENSDARE00000819976,ENSDARE00001231244,ENSDARE00000979778,ENSDARE00000850278,ENSDARE00000912462,ENSDARE00000916259,ENSDARE00000848057,ENSDARE00000828784,ENSDARE00000833558,ENSDARE00001166818,ENSDARE00000887732,ENSDARE00000843747,ENSDARE00000782035,ENSDARE00001110959,ENSDARE00001050638,ENSDARE00001168816	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7612587-7612841,7612954-7613037,7616798-7617008,7617114-7617801,7620156-7620299,7620460-7620591,7620912-7620986,7631318-7631399,7633804-7633830,7634232-7634354,7637426-7637551,7637690-7637918,7638062-7638158,7640281-7640488,7642523-7642734,7644242-7644396,7650280-7650504,7654407-7654513,7658440-7658542,7665418-7665541,7675921-7675980,7676294-7676366,7677202-7677297,7680392-7680490,7680612-7680710,7686272-7686370,7686668-7686865,7694711-7694809,7697125-7697223,7723680-7723877,7731245-7731343,7731827-7731925,7737361-7737459,7738657-7738854,7743750-7743848,7747082-7747180,7751480-7751578,7756234-7756257,7758796-7758981,7761565-7761663,7767305-7767403,7771008-7771106,7771756-7771857,7902471-7902539
12	7620238	7620954	-1	Death_domain	75.1	7620238-7620299,7620460-7620591,7620912-7620954	PF00531	http://pfam.sanger.ac.uk/family?acc=PF00531
12	7761589	7761663	-1	Ankyrin_rpt	425.8	7761589-7761663	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
12	7738777	7738854	-1	Ankyrin_rpt	425.8	7738777-7738854	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
12	7644321	7650497	-1	ZU5_dom	104.7	7644321-7644396,7650280-7650497	PF00791	http://pfam.sanger.ac.uk/family?acc=PF00791
12	7686776	7697208	-1	Ankyrin_rpt-contain_dom	478.1	7686776-7686865,7694711-7694809,7697125-7697208	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
12	7723686	7731328	-1	Ankyrin_rpt-contain_dom	478.1	7723686-7723877,7731245-7731328	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
12	7677235	7680614	-1	Ankyrin_rpt-contain_dom	478.1	7677235-7677297,7680392-7680490,7680612-7680614	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
12	7767311	7771830	-1	Ankyrin_rpt-contain_dom	478.1	7767311-7767403,7771008-7771106,7771756-7771830	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
12	7680618	7686751	-1	Ankyrin_rpt-contain_dom	478.1	7680618-7680710,7686272-7686370,7686668-7686751	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
12	7731833	7738677	-1	Ankyrin_rpt-contain_dom	478.1	7731833-7731925,7737361-7737459,7738657-7738677	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
12	7743762	7751485	-1	Ankyrin_rpt-contain_dom	478.1	7743762-7743848,7747082-7747180,7751480-7751485	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
