#>P	ENSDARG00000004581	ENSDART00000012816	ENSDARP00000007196	20	27088879	27102729	1	sel-1 suppressor of lin-12-like (C. elegans) [Source:ZFIN;Acc:ZDB-GENE-041001-122]
#>E	ENSDARE00000980373,ENSDARE00000463011,ENSDARE00000040367,ENSDARE00000053706,ENSDARE00000171443,ENSDARE00000142946,ENSDARE00000103566,ENSDARE00000041176,ENSDARE00000143482,ENSDARE00000111186,ENSDARE00000045603,ENSDARE00000151371,ENSDARE00000155698,ENSDARE00000161297,ENSDARE00000012160,ENSDARE00000128710,ENSDARE00000154203,ENSDARE00000138949,ENSDARE00000462991,ENSDARE00000462987,ENSDARE00000921717	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	27088879-27088951,27089159-27089202,27090058-27090229,27091816-27091983,27092224-27092329,27092904-27093066,27093274-27093327,27093419-27093478,27093797-27093878,27094388-27094542,27094987-27095043,27095578-27095646,27095744-27095821,27095920-27095982,27096069-27096156,27098560-27098708,27098788-27098953,27099684-27099758,27100277-27100449,27100654-27100782,27102526-27102732
20	27091854	27091979	1	FN_type2_col-bd	66.7	27091854-27091979	PF00040	http://pfam.sanger.ac.uk/family?acc=PF00040
20	27100393	27100698	1	Sel1-like	206	27100393-27100449,27100654-27100698	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
20	27099719	27100281	1	Sel1-like	206	27099719-27099758,27100277-27100281	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
20	27093464	27093865	1	Sel1-like	206	27093464-27093478,27093797-27093865	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
20	27096126	27098630	1	Sel1-like	206	27096126-27096156,27098560-27098630	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
20	27094534	27095619	1	Sel1-like	206	27094534-27094542,27094987-27095043,27095578-27095619	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
20	27093052	27093448	1	Sel1-like	206	27093052-27093066,27093274-27093327,27093419-27093448	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
20	27095623	27095925	1	Sel1-like	206	27095623-27095646,27095744-27095821,27095920-27095925	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
20	27092947	27093048	1	Sel1-like	206	27092947-27093048	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
20	27098643	27098796	1	Sel1-like	206	27098643-27098708,27098788-27098796	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
20	27100288	27100389	1	Sel1-like	206	27100288-27100389	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
20	27095932	27096116	1	Sel1-like	206	27095932-27095982,27096069-27096116	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
