#>P	ENSDARG00000102777	ENSDART00000162541	ENSDARP00000129945	5	51263147	51295567	1	thrombospondin 4a [Source:ZFIN;Acc:ZDB-GENE-080215-11]
#>E	ENSDARE00001153407,ENSDARE00001173844,ENSDARE00001160867,ENSDARE00001215622,ENSDARE00001174705,ENSDARE00001188879,ENSDARE00001202074,ENSDARE00001216955,ENSDARE00001161045,ENSDARE00001214368,ENSDARE00001187715,ENSDARE00001164549,ENSDARE00001175163,ENSDARE00001202293,ENSDARE00001201531,ENSDARE00001217986,ENSDARE00001151804,ENSDARE00001191705,ENSDARE00001155871,ENSDARE00001224532,ENSDARE00001189036	0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0	51263147-51263225,51263583-51263780,51265596-51265843,51267035-51267152,51267907-51267989,51269296-51269350,51269502-51269671,51272242-51272379,51274284-51274358,51274448-51274627,51276785-51276889,51278982-51279089,51279170-51279329,51280719-51280837,51284107-51284159,51284232-51284413,51285994-51286221,51288393-51288589,51291813-51291985,51292079-51292218,51295527-51295570
5	51286140	51295528	1	Thrombospondin_C	329.4	51286140-51286221,51288393-51288589,51291813-51291985,51292079-51292218,51295527-51295528	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
5	51284401	51286085	1	Thrombospondin_3-like_rpt	175.9	51284401-51284413,51285994-51286085	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	51280766	51280837	1	Thrombospondin_3-like_rpt	175.9	51280766-51280837	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	51284296	51284400	1	Thrombospondin_3-like_rpt	175.9	51284296-51284400	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	51279272	51280768	1	Thrombospondin_3-like_rpt	175.9	51279272-51279329,51280719-51280768	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	51279015	51279202	1	Thrombospondin_3-like_rpt	175.9	51279015-51279089,51279170-51279202	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	51284110	51284292	1	Thrombospondin_3-like_rpt	175.9	51284110-51284159,51284232-51284292	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
5	51274565	51276808	1	EGF-like_dom	22.9	51274565-51274627,51276785-51276808	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
5	51267936	51269346	1	Thbs/COMP_coiled-coil	33.6	51267936-51267989,51269296-51269346	PF11598	http://pfam.sanger.ac.uk/family?acc=PF11598
5	51269660	51272328	1	EGF-like_Ca-bd_dom	42.7	51269660-51269671,51272242-51272328	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
5	51274293	51274507	1	EGF-like_Ca-bd_dom	42.7	51274293-51274358,51274448-51274507	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
