#>P	ENSDARG00000078088	ENSDART00000109511	ENSDARP00000102839	7	47146586	47577623	-1	si:ch211-186j3.6 [Source:ZFIN;Acc:ZDB-GENE-130530-842]
#>E	ENSDARE00000940126,ENSDARE00000912729,ENSDARE00000855008,ENSDARE00000813452,ENSDARE00000786689,ENSDARE00000875784,ENSDARE00000785611,ENSDARE00000817282,ENSDARE00000782393,ENSDARE00000779534,ENSDARE00000841743,ENSDARE00000866598,ENSDARE00000823211,ENSDARE00000795373,ENSDARE00000853593,ENSDARE00000877383,ENSDARE00000848778,ENSDARE00000815146,ENSDARE00000839142,ENSDARE00000794451,ENSDARE00000869563,ENSDARE00000807899,ENSDARE00000845744,ENSDARE00000846654,ENSDARE00000805366,ENSDARE00000784712,ENSDARE00000871616,ENSDARE00000848128,ENSDARE00000814317,ENSDARE00000784410,ENSDARE00000817867,ENSDARE00000877836,ENSDARE00001175722	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	47146583-47147131,47148153-47148307,47171805-47172049,47175086-47175266,47183043-47183307,47189668-47189834,47190213-47190393,47201471-47201594,47201971-47202098,47215116-47215243,47233945-47234159,47251240-47251517,47266836-47267062,47279416-47279600,47284893-47284986,47290027-47291650,47293903-47294186,47301746-47301889,47311046-47311232,47317676-47317803,47323399-47323648,47328564-47328731,47338615-47338787,47341191-47341361,47344107-47344275,47354968-47355140,47368689-47368831,47396695-47396944,47406729-47406840,47412480-47412684,47418264-47418489,47421804-47422001,47576642-47577623
7	47146604	47148233	-1	Cadherin_cytoplasmic-dom	120.6	47146604-47147131,47148153-47148233	PF01049	http://pfam.sanger.ac.uk/family?acc=PF01049
7	47234132	47251295	-1	EGF-like_dom	45.1	47234132-47234159,47251240-47251295	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
7	47418362	47421891	-1	Cadherin	751.2	47418362-47418489,47421804-47421891	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47328654	47341194	-1	Cadherin	751.2	47328654-47328731,47338615-47338787,47341191-47341194	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47301864	47317765	-1	Cadherin	751.2	47301864-47301889,47311046-47311232,47317676-47317765	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47290091	47290345	-1	Cadherin	751.2	47290091-47290345	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47355004	47368827	-1	Cadherin	751.2	47355004-47355140,47368689-47368827	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47291426	47293947	-1	Cadherin	751.2	47291426-47291650,47293903-47293947	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47396742	47406768	-1	Cadherin	751.2	47396742-47396944,47406729-47406768	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47341240	47344254	-1	Cadherin	751.2	47341240-47341361,47344107-47344254	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47290445	47290696	-1	Cadherin	751.2	47290445-47290696	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47291078	47291374	-1	Cadherin	751.2	47291078-47291374	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47406826	47418304	-1	Cadherin	751.2	47406826-47406840,47412480-47412684,47418264-47418304	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47290760	47291029	-1	Cadherin	751.2	47290760-47291029	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47293999	47301821	-1	Cadherin	751.2	47293999-47294186,47301746-47301821	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
7	47175235	47189739	-1	Laminin_G	139.8	47175235-47175266,47183043-47183307,47189668-47189739	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
7	47201474	47234035	-1	Laminin_G	139.8	47201474-47201594,47201971-47202098,47215116-47215243,47233945-47234035	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
